,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
14406,12577,US,130980,45.21,-117.864722222,Census,City,OR,"Union, Oregon",0,0,0,0,0,0,0,0,0,416,604,937,1483,1319,1107.0,1398,1307,1490.0,1531.0,2062,1847,1926.0,2121.0
14578,12216,US,130960,45.8508333333,-118.658333333,Census,City,OR,"Helix, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,109,200,193.0,121,182,148.0,152.0,155,150,183.0,184.0
14603,11730,US,130732,43.7191666667,-121.528055556,Census,City,OR,"La Pine, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,1653.0
14718,26517,US,130716,43.1166666667,-124.416666667,Census,City,OR,"Bandon, Oregon",0,0,0,0,0,0,0,0,0,175,219,645,1803,1140,1516.0,1004,1251,1653.0,1832.0,2311,2215,2833.0,3066.0
14792,17696,US,130925,44.9211111111,-123.316388889,Census,City,OR,"Dallas, Oregon",0,0,0,0,0,0,0,0,0,670,848,1271,2124,2701,2975.0,3579,4793,5072.0,6361.0,8530,9422,12459.0,14583.0
15017,30409,US,92006,43.95,-122.88,Census,US County,OR,"Lane County, Oregon",0,0,0,0,0,0,0,4780,6426,9411,15198,19604,33783,36166,54493.0,69096,125776,162890.0,213358.0,275226,282912,322959.0,351715.0
15306,7125,US,26058941,44.6019444444,-124.008611111,Census,Unincorporated community,OR,"Yaquina, Oregon",0,0,0,0,0,0,0,0,0,0,0,268,289,310,88.0,0,0,0.0,0.0,0,0,0.0,0.0
15491,14607,US,130970,45.1336111111,-118.932777778,Census,City,OR,"Ukiah, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,249,250,255.0,186.0
15602,67287,US,48970,44.9308333333,-123.028888889,Census,State Capital,OR,"Salem, Oregon",0,0,0,0,0,0,0,902,2139,2538,3422,4258,14094,17679,26266.0,30908,43140,49142.0,68296.0,89233,107786,136924.0,154637.0
15604,10691,US,131008,45.4011111111,-122.803055556,Census,City,OR,"King City, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1427.0,1853,2060,1949.0,3111.0
15684,9971,US,130975,45.4602777778,-117.963611111,Census,City,OR,"Imbler, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,206,203.0,182,149,137.0,139.0,292,299,284.0,306.0
15711,10046,US,130687,45.2522222222,-122.721388889,Census,City,OR,"Barlow, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,69,42,40.0,52,75,85.0,105.0,105,118,140.0,135.0
16204,25148,US,130912,45.1472222222,-122.858333333,Census,City,OR,"Woodburn, Oregon",0,0,0,0,0,0,0,0,0,0,405,828,1616,1656,1675.0,1982,2395,3120.0,7495.0,11196,13404,20100.0,24080.0
16270,12759,US,130865,44.3933333333,-122.983611111,Census,City,OR,"Brownsville, Oregon",0,0,0,0,0,0,0,0,0,143,580,698,919,763,746.0,784,1175,875.0,1034.0,1261,1281,1449.0,1668.0
16384,33354,US,42160,45.4869444444,-122.803611111,Census,City,OR,"Beaverton, Oregon",0,0,0,0,0,0,0,0,0,0,0,249,386,580,1138.0,1052,2512,5937.0,18577.0,31962,53310,79277.0,89803.0
16757,11452,US,130890,44.8447222222,-122.871388889,Census,City,OR,"Aumsville, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,171,153.0,0,281,300.0,590.0,1432,1650,3003.0,3584.0
16835,14961,US,130931,44.8491666667,-123.23,Census,City,OR,"Monmouth, Oregon",0,0,0,0,0,0,0,0,0,267,0,606,493,582,906.0,965,1956,2229.0,5237.0,5594,6288,7741.0,9534.0
16874,11627,US,130900,44.7180555556,-123.009444444,Census,City,OR,"Jefferson, Oregon",0,0,0,0,0,0,0,0,0,0,307,273,415,417,391.0,479,636,716.0,936.0,1702,1805,2487.0,3098.0
16888,12030,US,130739,43.6375,-123.568055556,Census,City,OR,"Elkton, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,201,146.0,176.0,155,172,149.0,195.0
17011,25389,US,130961,45.8411111111,-119.291666667,Census,City,OR,"Hermiston, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,647,647,608.0,803,3804,4402.0,4893.0,9408,10040,13154.0,16745.0
17141,32961,US,92009,42.36,-123.56,Census,US County,OR,"Josephine County, Oregon",0,0,0,0,0,0,0,1623,1204,2485,4878,7517,9567,7655,11498.0,16301,26542,29917.0,35746.0,58855,62649,75726.0,82713.0
17149,29907,US,130907,45.0066666667,-122.7825,Census,City,OR,"Silverton, Oregon",0,0,0,0,0,0,0,0,0,229,511,656,1588,2251,2462.0,2925,3146,3081.0,4301.0,5168,5635,7433.0,9222.0
17178,9187,US,130990,45.1738888889,-121.083055556,Census,City,OR,"Maupin, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,198,240.0,267,312,381.0,428.0,495,456,411.0,418.0
17206,15609,US,130849,44.2205555556,-123.204166667,Census,City,OR,"Junction City, Oregon",0,0,0,0,0,0,0,0,0,428,0,506,759,687,922.0,1187,1475,1614.0,2373.0,3320,3670,5132.0,5392.0
17214,18369,US,130762,45.2355555556,-120.185,Census,City,OR,"Condon, Oregon",0,0,0,0,0,0,0,0,0,0,60,230,1009,1127,940.0,856,968,1149.0,973.0,783,635,759.0,682.0
17245,15517,US,130888,43.9822222222,-117.243611111,Census,City,OR,"Vale, Oregon",0,0,0,0,0,0,0,0,0,0,131,127,992,935,922.0,1083,1518,1491.0,1448.0,1558,1491,1976.0,1874.0
17343,11092,US,150987,44.705,-122.090833333,Census,City,OR,"Idanha, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,442,295.0,382.0,319,289,232.0,134.0
17406,16030,US,92020,45.38,-120.21,Census,US County,OR,"Gilliam County, Oregon",0,0,0,0,0,0,0,0,0,0,3600,3201,3701,3960,3467.0,2844,2817,3069.0,2342.0,2057,1717,1915.0,1871.0
17465,16656,US,150989,45.0766666667,-123.485,Census,City,OR,"Willamina, Oregon",0,0,0,0,0,0,0,0,0,68,0,0,376,247,360.0,677,1082,960.0,1193.0,1749,1717,1844.0,2025.0
17495,18320,US,130725,44.3038888889,-120.846111111,Census,City,OR,"Prineville, Oregon",0,0,0,0,0,0,0,0,0,0,460,656,1042,1144,1027.0,2358,3233,3263.0,4101.0,5276,5355,7563.0,9253.0
17541,31151,US,71015,45.3811111111,-122.593055556,Census,City,OR,"Gladstone, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,1069,1348.0,1629,2434,3854.0,6254.0,9500,10152,11438.0,11497.0
17847,12903,US,130920,45.5419444444,-122.438888889,Census,City,OR,"Fairview, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,204,184,266.0,305,438,578.0,1045.0,1749,2391,7561.0,8920.0
18143,18857,US,130745,43.6988888889,-124.112222222,Census,City,OR,"Reedsport, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,850,1178.0,1421,2288,2998.0,4039.0,4984,4796,4378.0,4154.0
18264,28617,US,130826,42.4388888889,-123.328333333,Census,City,OR,"Grants Pass, Oregon",0,0,0,0,0,0,0,0,0,250,1432,2290,3897,4200,4666.0,6028,8116,10118.0,12455.0,14977,17488,23003.0,34533.0
18351,16749,US,150982,45.3747222222,-122.77,Census,City,OR,"Tualatin, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,234,198.0,180,248,359.0,750.0,7348,15013,22791.0,26054.0
18397,12963,US,130862,44.6213888889,-123.938333333,Census,City,OR,"Toledo, Oregon",0,0,0,0,0,0,0,0,0,0,0,302,541,678,2187.0,2288,2323,3053.0,2818.0,3151,3174,3472.0,3465.0
18552,17338,US,91994,,,Census,US County,OR,"Union County, Oregon",0,0,0,0,0,0,0,0,2552,6550,12044,16070,16191,16636,17492.0,17399,17962,18180.0,19377.0,23921,23598,24530.0,25748.0
18671,12716,US,131003,45.3944444444,-122.758611111,Census,City,OR,"Durham, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,410.0,707,748,1382.0,1351.0
18688,11001,US,130897,45.1083333333,-122.8975,Census,City,OR,"Gervais, Oregon",0,0,0,0,0,0,0,0,0,202,0,224,276,268,254.0,332,457,438.0,746.0,799,992,2009.0,2464.0
18722,22187,US,130874,44.4005555556,-122.715833333,Census,City,OR,"Sweet Home, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,202,175,189.0,1090,3603,3353.0,3799.0,6921,6850,8016.0,8925.0
18851,13201,US,131025,45.2447222222,-123.113333333,Census,City,OR,"Lafayette, Oregon",0,0,0,0,0,0,0,0,0,396,365,359,412,410,0.0,409,662,553.0,786.0,1215,1292,2586.0,3742.0
18868,18256,US,130814,42.3144444444,-122.967222222,Census,City,OR,"Jacksonville, Oregon",0,0,0,0,0,0,0,0,0,839,743,653,785,489,706.0,761,1193,1172.0,1611.0,2030,1896,2235.0,2785.0
18879,90387,US,131007,45.5166666667,-122.983333333,Census,City,OR,"Hillsboro, Oregon",0,0,0,0,0,0,0,0,0,402,1246,980,2016,2468,3039.0,3747,5142,8232.0,15365.0,27664,37598,70187.0,91611.0
18899,19345,US,130857,44.9722222222,-124.011111111,Census,City,OR,"Lincoln City, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3400.0,4198.0,5469,5892,7437.0,7930.0
18957,14899,US,130706,46.1030555556,-123.203611111,Census,City,OR,"Clatskanie, Oregon",0,0,0,0,0,0,0,0,0,0,212,311,747,1171,739.0,708,901,797.0,1286.0,1648,1629,1528.0,1737.0
19103,14179,US,130830,42.1994444444,-121.404722222,Census,City,OR,"Bonanza, Oregon",0,0,0,0,0,0,0,0,0,100,0,118,250,77,141.0,233,259,297.0,230.0,270,323,415.0,415.0
19348,30288,US,92034,46.01,-123.71,Census,US County,OR,"Clatsop County, Oregon",0,0,0,0,0,0,462,498,1255,7222,10016,12765,16106,23030,21124.0,24697,30776,27380.0,28473.0,32489,33301,35630.0,37039.0
19393,14224,US,130868,44.5330555556,-122.907777778,Census,City,OR,"Lebanon, Oregon",0,0,0,0,0,0,0,0,0,270,829,922,1820,1805,1851.0,2729,5873,5858.0,6636.0,10413,10950,12950.0,15518.0
19772,26039,US,130977,45.3272222222,-118.093333333,Census,City,OR,"La Grande, Oregon",0,0,0,0,0,0,0,0,240,400,2583,2991,4843,6913,8050.0,7747,8635,9014.0,9645.0,11354,11766,12327.0,13082.0
19820,18973,US,130677,44.8783333333,-117.110555556,Census,City,OR,"Halfway, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,186,324,351.0,416,312,505.0,317.0,380,311,339.0,288.0
20257,9992,US,130721,43.5788888889,-124.174444444,Census,City,OR,"Lakeside, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,125,92,0.0,134,150,350.0,900.0,1453,1437,1371.0,1699.0
20276,18076,US,92030,44.13,-120.36,Census,US County,OR,"Crook County, Oregon",0,0,0,0,0,0,0,0,0,0,3244,3964,9315,3424,3336.0,5533,8991,9430.0,9985.0,13091,14111,19182.0,20978.0
