,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
17585,9692,US,111235,41.2877777778,-88.2538888889,Census,Village,IL,"Diamond, Illinois",0,0,0,0,0,0,0,0,0,424,0,672,255,85,92.0,80,107,250.0,452.0,1170,1077,1393.0,2527.0
17617,8259,US,111729,39.1316666667,-89.4916666667,Census,Village,IL,"Taylor Springs, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,380,1526,774.0,624,627,550.0,620.0,671,670,583.0,690.0
17620,10907,US,111761,42.1058333333,-89.18,Census,Village,IL,"Stillman Valley, Illinois",0,0,0,0,0,0,0,0,0,92,0,0,0,313,348.0,333,362,598.0,871.0,961,848,1048.0,1120.0
17625,12840,US,110989,41.9661111111,-87.8055555556,Census,Village,IL,"Harwood Heights, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,655,5688.0,9060.0,8228,7680,8297.0,8612.0
17648,13231,US,111191,37.9944444444,-88.9416666667,Census,Village,IL,"West City, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,525,1091.0,1017,1081,814.0,637.0,886,747,716.0,661.0
17670,8658,US,112024,38.2477777778,-88.3466666667,Census,Village,IL,"Mill Shoals, Illinois",0,0,0,0,0,0,0,0,0,25,221,669,700,356,465.0,537,417,322.0,292.0,333,247,235.0,215.0
17686,16453,US,96216,,,Census,US County,IL,"Livingston County, Illinois",0,0,0,0,0,759,1552,11637,31471,38450,38455,42035,40465,39070,39092.0,38838,37809,40341.0,40690.0,41381,39301,39678.0,38950.0
17693,20500,US,96228,39.09,-90.36,Census,US County,IL,"Jersey County, Illinois",0,0,0,0,0,4535,7354,12051,15054,15542,14810,14612,13954,12682,12556.0,13636,15264,17023.0,18492.0,20538,20539,21668.0,22985.0
17706,7994,US,111835,38.1336111111,-89.9986111111,Census,Village,IL,"Ruma, Illinois",0,0,0,0,0,0,0,0,0,0,0,151,138,100,79.0,95,107,138.0,154.0,254,256,260.0,317.0
17717,8376,US,111876,39.7680555556,-89.6788888889,Census,Village,IL,"Jerome, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,424,689,1666.0,1673.0,1374,1206,1414.0,1656.0
17776,12449,US,111038,41.6122222222,-87.6305555556,Census,Village,IL,"Phoenix, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,679,1933,3033.0,2875,3606,4203.0,3596.0,2850,2217,2157.0,1964.0
17783,9797,US,110873,40.3158333333,-88.3486111111,Census,Village,IL,"Fisher, Illinois",0,0,0,0,0,0,0,0,0,188,0,614,850,747,709.0,754,894,1155.0,1525.0,1572,1526,1647.0,1881.0
17789,9183,US,110850,41.5563888889,-89.5913888889,Census,Village,IL,"Walnut, Illinois",0,0,0,0,0,0,0,0,0,515,605,791,763,771,833.0,961,1093,1192.0,1295.0,1513,1463,1461.0,1416.0
