,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
14948,12633,US,259837,44.2019444444,-75.6158333333,Census,Town,NY,"Antwerp, New York",0,0,0,1319,2412,3109,2665,3313,3310,3414,3095,3008,2848,2569,2292.0,2187,1781,1905.0,1794.0,1859,1856,1793.0,1846.0
14950,9264,US,126556,43.7530555556,-75.9777777778,Census,Town,NY,"Lorraine, New York",0,0,0,1112,1727,1699,1511,1687,1377,1435,1174,1019,940,790,848.0,782,681,609.0,628.0,720,766,930.0,1037.0
15013,23483,US,257470,42.7441666667,-73.6941666667,Census,Town and village,NY,"Green Island, New York",0,0,0,0,0,0,0,1600,3135,4160,4463,4770,4737,4411,4331.0,3988,4016,3533.0,3297.0,2696,2490,2278.0,2620.0
15040,19430,US,260097,40.8852777778,-72.3952777778,Census,Town,NY,"Southampton, New York",3408,3670,3899,4229,4850,6205,6501,6803,6135,6352,8200,10371,11240,11614,15341.0,15295,16830,27095.0,36154.0,42849,44976,54713.0,56790.0
15048,12056,US,126151,42.1019444444,-78.9175,Census,Town,NY,"Coldspring, New York",0,0,0,0,0,673,591,667,835,984,901,870,685,567,541.0,596,619,580.0,638.0,708,732,751.0,663.0
15056,8955,US,260194,42.7158333333,-78.0052777778,Census,Town,NY,"Perry, New York",0,0,0,2317,3831,3082,2832,2452,2342,2571,2928,3862,5360,5400,5086.0,5251,5342,5372.0,5367.0,5437,5353,4876.0,4616.0
15073,11159,US,126472,43.0269444444,-74.5530555556,Census,Town,NY,"Ephratah, New York",0,0,0,0,1818,2009,2079,2202,2207,2157,1864,1566,1312,1038,949.0,1045,1063,1237.0,1297.0,1564,1556,1693.0,1682.0
15100,33830,US,126708,40.8672222222,-73.6277777778,Census,City,NY,"Glen Cove, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,8664,11430.0,12415,15130,23817.0,25770.0,24618,24149,26622.0,26964.0
15104,16819,US,126882,43.0580555556,-76.2188888889,Census,Town,NY,"Geddes, New York",0,0,0,0,0,0,2011,2528,4505,7088,1571,4387,5959,7995,10210.0,11237,13284,19679.0,21032.0,18528,17677,17740.0,17118.0
15121,8188,US,127219,42.2472222222,-77.6927777778,Census,Town,NY,"Hartsville, New York",0,0,0,0,0,0,854,1154,993,1015,757,787,651,545,470.0,498,518,479.0,467.0,509,546,585.0,609.0
15124,9511,US,126601,42.6277777778,-77.6972222222,Census,Town,NY,"Sparta, New York",0,0,0,1475,3777,5841,1372,1248,1182,1201,1136,1189,985,833,974.0,887,971,1019.0,1157.0,1458,1578,1627.0,1624.0
15134,13585,US,126489,42.3833333333,-74.15,Census,Town,NY,"Durham, New York",0,0,0,2979,3039,2813,2600,2558,2257,2173,1925,1636,1475,1211,1104.0,1223,1233,1313.0,1651.0,2283,2324,2592.0,2725.0
15139,17650,US,126684,40.6258333333,-73.7283333333,Census,Village,NY,"Cedarhurst, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,2838,5065.0,5463,6051,6954.0,6941.0,6162,5716,6164.0,6592.0
15149,8993,US,126835,43.2741666667,-75.1886111111,Census,Village,NY,"Barneveld, New York",0,0,0,0,0,0,0,0,294,289,284,298,289,269,313.0,296,331,363.0,423.0,396,272,332.0,284.0
15157,10359,US,126828,43.3366666667,-78.5461111111,Census,Town,NY,"Somerset, New York",0,0,0,0,871,1742,2154,2132,1862,2015,1962,1923,2260,2003,1892.0,2041,2227,2489.0,2677.0,2701,2655,2865.0,2662.0
15159,10120,US,126850,43.1666666667,-75.2833333333,Census,Town,NY,"Marcy, New York",0,0,0,0,0,1799,1857,1687,1451,1413,1213,1398,1301,1191,2604.0,4528,5210,7024.0,7877.0,6222,8685,9481.0,8982.0
15167,10049,US,126252,42.1322222222,-79.7052777778,Census,Town,NY,"Mina, New York",0,0,0,0,1388,871,996,1200,1092,1102,1125,1038,1033,903,944.0,818,1012,1188.0,1129.0,1245,1129,1176.0,1106.0
15181,9681,US,127468,41.8533333333,-74.1558333333,Census,Town,NY,"Marbletown, New York",0,0,0,3809,3223,3813,3830,4120,4223,3970,3639,3511,4713,2017,2276.0,2543,2364,3191.0,4146.0,4956,5285,5854.0,5607.0
15209,11609,US,126883,43.0666666667,-76.4666666667,Census,Village,NY,"Jordan, New York",0,0,0,0,0,0,0,1488,1263,1344,1271,1118,978,1012,1145.0,1115,1295,1300.0,1493.0,1371,1325,1314.0,1368.0
15219,15272,US,127543,41.0113888889,-73.8413888889,Census,Village,NY,"Ardsley, New York",0,0,0,0,0,0,0,0,0,0,0,404,537,730,1135.0,1423,1744,3991.0,4470.0,4183,4272,4269.0,4452.0
15222,61477,US,126701,40.6538888889,-73.5869444444,Census,Village,NY,"Freeport, New York",0,0,0,0,0,0,0,0,0,1217,0,2612,4836,8599,15467.0,20410,24680,34419.0,40374.0,38272,39894,43783.0,42860.0
15226,20438,US,259625,42.2561111111,-77.7897222222,Census,Town,NY,"Alfred, New York",0,0,0,1701,1416,1630,2679,1367,1555,1526,1699,1615,1590,1269,1404.0,1410,2862,3730.0,4875.0,6191,5791,5140.0,5237.0
15298,15449,US,126830,43.0922222222,-78.895,Census,Town,NY,"Wheatfield, New York",0,0,0,0,0,1057,2659,3484,3406,4390,4015,1926,1792,1884,2212.0,3077,4720,8008.0,9722.0,9609,11125,14086.0,18117.0
15326,8253,US,260186,42.5333333333,-78.4288888889,Census,Village,NY,"Arcade (village), New York",0,0,0,0,0,300,300,637,573,762,0,887,1294,1609,1643.0,1683,1818,1930.0,1972.0,2052,2081,2026.0,2071.0
15328,11334,US,259681,42.1436111111,-76.9325,Census,Town,NY,"Big Flats, New York",0,0,0,0,1149,1375,1709,1853,1902,1989,1687,1705,1535,1454,1679.0,1832,2460,3665.0,6837.0,7649,7596,7224.0,7731.0
15330,38368,US,127579,41.2833333333,-73.9166666667,Census,City,NY,"Peekskill, New York",0,0,0,0,0,0,0,0,6560,6893,9676,10358,15245,15868,17125.0,17311,17731,18737.0,19283.0,18236,19536,22441.0,23583.0
15338,21490,US,51541,43.32,-73.43,Census,US County,NY,"Washington County, New York",14077,35574,44289,38831,42635,41080,44750,45904,49568,47871,45690,45624,47778,44888,46482.0,46726,47144,48476.0,52725.0,54795,59330,61042.0,63216.0
15360,8070,US,259730,42.4436111111,-76.0369444444,Census,Village,NY,"Marathon (village), New York",0,0,0,0,0,0,0,0,871,1006,1198,1092,1079,565,860.0,955,1057,1079.0,1053.0,1046,1107,1063.0,919.0
15383,9257,US,126619,42.9661111111,-75.6666666667,Census,Town,NY,"Smithfield, New York",0,0,0,3338,2636,1699,1669,1509,1227,1226,1043,989,880,767,653.0,630,758,804.0,864.0,1001,1053,1205.0,1288.0
15390,13423,US,126961,41.4666666667,-74.3666666667,Census,Town,NY,"Wallkill, Orange County, New York",2571,0,0,4887,4056,4268,4942,6603,9477,11486,2755,2725,2578,2598,3835.0,4753,5947,8176.0,11518.0,20481,23016,24659.0,27426.0
15397,9816,US,259738,41.9547222222,-75.2833333333,Census,Village,NY,"Hancock (village), New York",0,0,0,0,0,0,0,0,0,686,1279,1283,1329,1326,1427.0,1581,1560,1830.0,1688.0,1526,1330,1189.0,1031.0
15411,13990,US,127079,41.1194444444,-74.0658333333,Census,CDP,NY,"Monsey, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,8797.0,12380,13986,14504.0,18412.0
15416,7923,US,260074,42.5002777778,-77.4936111111,Census,Village,NY,"Cohocton (village), New York",0,0,0,0,0,0,0,0,0,0,0,879,838,843,860.0,931,943,929.0,897.0,902,859,854.0,838.0
15437,8590,US,260116,42.4891666667,-76.2997222222,Census,Village,NY,"Dryden (village), New York",0,0,0,0,0,0,0,0,672,779,663,699,709,707,666.0,747,976,1263.0,1490.0,1761,1908,1832.0,1890.0
15459,9557,US,127052,42.7683333333,-73.3433333333,Census,Town,NY,"Petersburgh, New York",0,0,0,2248,2011,1901,1908,1698,1732,1785,1461,1449,1238,1066,976.0,955,1010,989.0,1187.0,1369,1461,1563.0,1525.0
15471,7766,US,259766,42.9119444444,-78.7597222222,Census,Census-designated place,NY,"Cheektowaga (CDP), New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,92145,84387,79988.0,75178.0
15473,8695,US,127616,42.6108333333,-77.3061111111,Census,Town,NY,"Italy, New York",0,0,0,728,1092,1634,1627,1605,1341,1444,1206,1094,861,731,510.0,457,455,428.0,532.0,953,1120,1087.0,1141.0
15481,12452,US,126516,43.0166666667,-75.05,Census,Village,NY,"Ilion, New York",0,0,0,0,0,0,0,0,2876,3711,4057,5138,6588,10169,9890.0,8927,9363,10199.0,9808.0,9450,8888,8610.0,8053.0
15492,7017,US,259928,42.8355555556,-75.9852777778,Census,Village,NY,"Fabius (village), New York",0,0,0,0,0,0,0,0,378,405,312,387,344,240,267.0,308,369,378.0,374.0,367,310,355.0,352.0
15515,88758,US,48369,40.7333333333,-73.6333333333,Census,US County,NY,"Nassau County, New York",0,0,0,0,0,0,0,0,0,0,0,55448,83930,126120,303053.0,406748,672765,1300171.0,1428080.0,1321582,1287348,1334544.0,1339532.0
15516,17431,US,259761,41.9275,-73.9088888889,Census,Village,NY,"Rhinebeck (village), New York",0,0,0,2729,2938,2659,2816,3289,1322,1569,1649,1494,1548,1397,1569.0,1697,1923,2093.0,2336.0,2542,2725,3077.0,2657.0
15524,8947,US,126625,43.1055555556,-77.8805555556,Census,Village,NY,"Churchville, New York",0,0,0,0,0,0,0,0,0,513,493,505,565,513,652.0,601,755,1003.0,1065.0,1399,1731,1887.0,1961.0
15559,8947,US,259668,42.7111111111,-76.4230555556,Census,Village,NY,"Moravia (village), New York",0,0,0,0,0,0,0,0,0,1540,1486,1442,1324,1331,1295.0,1231,1480,1575.0,1642.0,1582,1559,1363.0,1282.0
15588,7190,US,259971,43.3208333333,-76.5761111111,Census,Village,NY,"Hannibal (village), New York",0,0,0,0,0,0,0,0,454,490,452,410,330,400,410.0,437,501,611.0,686.0,680,613,542.0,555.0
