"Chesapeake","Kanawha County","West Virginia",1522,1554,1643,1896,2364,2428,2699,2566,0,0,0,0,0,0,0,0,0,0,0
"Chester","Hancock County","West Virginia",2527,2585,2592,2905,3297,3614,3787,3758,3805,3701,3283,3184,0,0,0,0,0,0,0
"Clarksburg","Harrison County","West Virginia",16242,16578,16743,18059,22371,24864,28112,32014,30579,28866,27869,9201,4050,3008,2307,0,895,0,0
"Clay","Clay County","West Virginia",468,491,593,592,940,479,486,500,511,444,342,392,339,0,0,0,0,0,0
"Clearview","Ohio County","West Virginia",556,565,590,622,740,512,520,0,0,0,0,0,0,0,0,0,0,0,0
"Clendenin","Kanawha County","West Virginia",1202,1227,1116,1203,1373,1438,1510,1475,1200,1217,1263,815,0,0,0,0,0,0,0
"Cowen","Webster County","West Virginia",509,541,513,549,723,467,475,632,539,491,393,312,257,0,0,0,0,0,0
"Danville","Boone County","West Virginia",664,691,550,595,727,580,507,544,417,486,327,0,0,0,0,0,0,0,0
"Davis","Tucker County","West Virginia",651,660,624,799,979,868,898,1271,1454,1656,2491,2615,2391,918,0,0,0,0,0
"Davy","McDowell County","West Virginia",392,420,373,403,882,993,1331,1650,0,0,0,0,0,0,0,0,0,0,0
"Delbarton","Mingo County","West Virginia",549,579,474,705,981,903,1122,1353,0,0,0,0,0,0,0,0,0,0,0
"Dunbar","Kanawha County","West Virginia",7749,7907,8154,8697,9285,9151,11006,8032,5266,4189,0,0,0,0,0,0,0,0,0
"Durbin","Pocahontas County","West Virginia",286,293,262,278,379,347,431,540,533,498,422,390,0,0,0,0,0,0,0
"East Bank","Kanawha County","West Virginia",944,959,933,892,1155,1025,1023,735,601,476,586,551,468,0,0,0,0,0,0
"Eleanor","Putnam County","West Virginia",1575,1518,1345,1256,1282,1035,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elizabeth","Wirt County","West Virginia",835,823,994,900,856,821,727,755,685,716,681,674,657,710,395,0,0,0,0
"Elk Garden","Mineral County","West Virginia",225,232,217,261,291,291,329,318,342,299,422,438,581,723,0,0,0,0,0
"Elkins","Randolph County","West Virginia",7286,7094,7032,7420,8536,8287,8307,9121,8133,7345,6788,5260,2016,737,0,0,0,0,0
"Ellenboro","Ritchie County","West Virginia",348,363,373,453,357,267,340,307,277,330,286,204,0,0,0,0,0,0,0
"Fairmont","Marion County","West Virginia",18740,18704,19097,20210,23863,26093,27477,29346,23105,23159,17851,9711,5655,1023,900,621,704,683,0
"Fairview","Marion County","West Virginia",413,408,435,513,759,640,653,775,831,836,827,782,0,235,195,72,69,0,0
"Falling Spring","Greenbrier County","West Virginia",209,211,209,191,240,255,265,307,388,355,263,270,0,0,0,0,0,0,0
"Farmington","Marion County","West Virginia",377,375,387,414,583,595,709,824,880,819,679,519,0,0,179,89,0,0,0
