"Canton","Madison County","Mississippi",13713,13189,12911,10062,11116,10503,9707,7048,6011,4725,3252,3929,3404,2131,2083,1963,0,0,,,,
"Carrollton","Carroll County","Mississippi",183,190,408,221,338,295,343,475,575,523,510,608,540,488,394,377,718,0,,,,
"Carthage","Leake County","Mississippi",4956,5075,4637,3819,3453,3031,2442,1925,1766,998,635,315,416,322,285,0,0,0,0,0,0,0
"Cary","Sharkey County","Mississippi",290,313,427,392,470,517,428,390,491,419,0,0,0,0,0,0,0,0,0,0,0,0
"Centreville","Amite/Wilkinson County","Mississippi",1578,1684,1680,1771,1844,1819,1229,2025,1163,134,161,865,590,0,0,0,0,0,0,0,0,0
"Charleston","Tallahatchie County","Mississippi",2087,2193,2198,2328,2878,2821,2528,2629,2100,2014,3007,1834,480,412,368,0,0,0,0,0,0,0
"Chunky","Newton County","Mississippi",329,326,344,292,277,280,224,258,228,268,272,280,0,0,0,0,0,0,0,0,0,0
"Clarksdale","Coahoma County","Mississippi",17011,17962,20645,19717,21137,21673,21105,16539,12168,10043,7552,4079,1773,781,0,0,0,0,0,0,0,0
"Cleveland","Bolivar County","Mississippi",12412,12334,13841,15384,14524,13327,10172,6747,4189,3240,1674,1001,479,0,0,0,0,0,0,0,0,0
"Clinton","Hinds County","Mississippi",25411,25216,23347,21847,14660,7289,3438,2255,916,912,669,767,354,0,569,0,0,0,0,0,0,0
"Coahoma","Coahoma County","Mississippi",359,377,325,254,0,0,0,0,0,0,0,211,171,0,0,0,0,0,0,0,0,0
"Coffeeville","Yalobusha County","Mississippi",863,905,930,825,1129,1024,813,739,481,456,411,421,467,465,749,0,0,0,0,0,0,0
"Coldwater","Tate County","Mississippi",1606,1677,1674,1502,1505,1450,1264,949,690,664,856,774,557,518,397,0,0,0,0,0,0,0
"Collins","Covington County","Mississippi",2565,2586,2683,2541,2131,1934,1537,1293,1100,935,1389,2581,0,0,0,0,0,0,0,0,0,0
"Columbia","Marion County","Mississippi",6319,6582,6603,6815,7733,7587,7117,6124,6064,4833,2826,2029,507,0,0,66,0,0,0,0,0,0
"Columbus","Lowndes County","Mississippi",23248,23640,25944,23799,27503,25795,24771,17172,13645,10743,10501,8988,6484,4559,3955,4812,3308,2611,0,0,0,0
"Como","Panola County","Mississippi",1259,1279,1310,1387,1378,1003,789,703,819,851,818,905,475,178,149,0,0,0,0,0,0,0
"Corinth","Alcorn County","Mississippi",14865,14573,14054,11820,13180,11581,11453,9785,7818,6220,5498,5020,3661,2111,2275,1512,0,0,0,0,0,0
"Courtland","Panola County","Mississippi",514,511,460,329,381,316,242,275,237,230,265,304,282,0,221,0,0,0,0,0,0,0
"Crawford","Lowndes County","Mississippi",629,641,655,668,495,391,317,374,380,349,323,396,389,225,304,0,0,0,0,0,0,0
"Crenshaw","Panola/Quitman County","Mississippi",868,885,916,978,1019,1271,1382,740,623,575,512,358,0,0,0,0,0,0,0,0,0,0
"Crosby","Amite/Wilkinson County","Mississippi",299,318,360,465,349,491,705,1152,1489,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crowder","Panola/Quitman County","Mississippi",681,712,766,758,789,815,528,476,454,377,388,0,0,0,0,0,0,0,0,0,0,0
"Cruger","Holmes County","Mississippi",364,386,449,548,540,415,362,494,450,409,488,231,0,0,0,0,0,0,0,0,0,0
"Crystal Springs","Copiah County","Mississippi",4958,5044,5873,5643,4902,4195,4496,3676,2855,2257,1395,1343,1093,997,915,864,0,0,,,,
"D'Iberville","Harrison County","Mississippi",10962,9486,7608,6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Lo","Simpson County","Mississippi",451,452,394,421,463,485,428,516,400,514,646,284,0,0,0,0,0,0,0,0,0,0
"De Kalb","Kemper County","Mississippi",1095,1164,972,1073,1159,1072,880,953,866,888,554,0,0,0,0,0,0,0,0,0,0,0
"Decatur","Newton County","Mississippi",1804,1841,1426,1248,1148,1311,1340,1225,773,654,319,283,0,0,47,0,0,0,0,0,0,0
"Derma","Calhoun County","Mississippi",1009,1025,1023,959,793,660,578,494,477,456,317,383,0,0,0,0,0,0,0,0,0,0
"Diamondhead","? County","Mississippi",8180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doddsville","Sunflower County","Mississippi",92,98,108,149,232,276,190,201,262,317,0,0,0,0,0,0,0,0,0,0,0,0
"Drew","Sunflower County","Mississippi",1801,1927,2434,2349,2528,2574,2143,1681,1579,1373,721,278,195,0,0,0,0,0,0,0,0,0
"Duck Hill","Montgomery County","Mississippi",1092,732,746,586,706,809,674,537,537,553,528,499,242,332,151,0,0,0,0,0,0,0
"Dumas","Tippah County","Mississippi",465,470,452,407,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan","Bolivar County","Mississippi",414,423,578,416,501,599,465,436,419,337,322,284,172,0,0,0,0,0,0,0,0,0
"Durant","Holmes County","Mississippi",2510,2673,2932,2838,2889,2752,2617,2311,2510,2480,1870,1881,1766,1259,724,375,0,0,,,,
"Ecru","Pontotoc County","Mississippi",969,895,947,696,687,417,442,494,601,560,642,475,0,0,0,0,0,0,0,0,0,0
"Eden","Yazoo County","Mississippi",100,103,126,88,150,152,218,306,292,233,221,176,0,0,0,0,0,0,0,0,0,0
"Edwards","Hinds County","Mississippi",1028,1034,1347,1279,1515,1236,1206,1002,1110,456,727,589,586,0,0,0,0,0,0,0,0,0
"Ellisville","Jones County","Mississippi",4577,4448,3465,3634,4652,4643,4592,3579,2607,2127,1681,2446,1899,967,37,0,0,0,0,0,0,0
"Enterprise","Clarke County","Mississippi",513,526,474,477,607,458,532,691,757,792,700,877,789,0,0,0,0,0,0,0,0,0
"Ethel","Attala County","Mississippi",410,418,452,454,486,560,566,723,828,571,466,0,0,0,0,0,0,0,0,0,0,0
"Eupora","Webster County","Mississippi",2128,2197,2326,2145,2048,1792,1468,1338,1377,1092,948,896,724,432,0,0,0,0,0,0,0,0
"Falcon","Quitman County","Mississippi",155,167,317,167,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Falkner","Tippah County","Mississippi",508,514,212,232,251,159,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0
"Farmington","? County","Mississippi",2192,2186,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fayette","Jefferson County","Mississippi",1612,1614,2242,1853,2033,1725,1626,1498,907,848,840,775,604,0,369,120,339,210,0,0,0,0
"Flora","Madison County","Mississippi",1888,1886,1546,1482,1507,987,743,655,509,513,698,747,304,228,0,0,0,0,0,0,0,0
"Florence","Rankin County","Mississippi",4306,4141,2396,1831,1111,404,360,313,368,272,207,260,0,0,0,0,0,0,0,0,0,0
"Flowood","Rankin County","Mississippi",8556,7823,4750,2860,943,352,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forest","Scott County","Mississippi",5744,5684,5987,5060,5229,4085,3917,2874,2735,2176,1188,1136,761,547,0,0,0,0,0,0,0,0
"French Camp","Choctaw County","Mississippi",170,174,393,320,306,174,123,162,172,181,123,220,259,267,420,0,0,0,0,0,0,0
"Friars Point","Coahoma County","Mississippi",1132,1200,1480,1334,1400,1177,1029,916,940,988,954,876,750,674,676,0,0,0,0,0,0,0
"Fulton","Itawamba County","Mississippi",4030,3961,3882,3387,3238,2899,1706,1343,1154,927,227,194,171,172,249,132,0,275,0,0,0,0
"Gattman","Monroe County","Mississippi",88,90,114,120,151,175,145,150,186,158,151,155,111,0,0,0,0,0,0,0,0,0
"Gautier","Jackson County","Mississippi",18596,18572,11681,10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgetown","Copiah County","Mississippi",285,286,344,332,343,339,285,327,415,303,317,0,0,0,0,0,0,0,0,0,0,0
"Glen","? County","Mississippi",411,412,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glendora","Tallahatchie County","Mississippi",143,151,285,165,220,201,147,178,247,0,0,207,0,0,0,0,0,0,0,0,0,0
"Gloster","Amite County","Mississippi",916,960,1073,1323,1726,1401,1369,1467,1232,1139,1079,1486,1661,1142,0,0,0,0,0,0,0,0
"Golden","Tishomingo County","Mississippi",189,191,201,202,292,339,121,206,340,569,194,209,0,0,0,0,0,0,0,0,0,0
"Goodman","Holmes County","Mississippi",1331,1386,1252,1256,1285,1194,932,878,609,608,589,603,442,354,378,0,0,0,0,0,0,0
"Greenville","Washington County","Mississippi",32704,34400,41633,45226,40613,39648,41502,29936,20892,14807,11560,9610,7642,6658,2191,890,0,0,0,0,0,0
"Greenwood","Leflore County","Mississippi",15730,15205,18425,18906,20115,22400,20436,18061,14767,11123,7793,5836,3026,1055,308,0,0,0,0,0,0,0
"Grenada","Grenada County","Mississippi",12956,13092,14879,10864,11508,9944,794,7388,5831,4349,3402,2814,2568,2416,1914,1887,0,0,,,,
"Gulfport","Harrison County","Mississippi",71750,67793,71127,40775,39676,40791,30204,22659,15195,12547,8157,6386,1060,0,0,0,0,0,0,0,0,0
"Gunnison","Bolivar County","Mississippi",438,452,633,611,708,545,448,453,396,484,485,515,477,0,0,0,0,0,0,0,0,0
"Guntown","Lee County","Mississippi",2508,2083,1183,692,359,304,269,299,349,369,365,330,325,0,0,0,0,0,0,0,0,0
"Hatley","Monroe County","Mississippi",469,482,476,529,497,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hattiesburg","Forrest/Lamar County","Mississippi",47016,45989,44779,41882,40829,38277,34989,29474,21026,18601,13270,11733,4175,1172,0,0,0,0,0,0,0,0
"Hazlehurst","Copiah County","Mississippi",3934,4009,4400,4221,4437,4577,3400,3397,3124,2447,1762,2056,1579,0,463,662,0,0,0,0,0,0
"Heidelberg","Jasper County","Mississippi",687,718,840,981,1098,1112,1049,863,615,653,489,477,228,216,0,0,0,0,0,0,0,0
"Hernando","DeSoto County","Mississippi",15290,14090,6812,3125,2969,2499,1898,1206,1072,938,796,600,563,602,583,730,0,0,,,,
"Hickory","Newton County","Mississippi",534,530,499,493,670,570,539,614,724,736,618,600,626,0,0,155,0,0,0,0,0,0
"Hickory Flat","Benton County","Mississippi",565,601,565,535,458,354,344,345,352,337,269,261,204,293,0,0,0,0,0,0,0,0
