"Bayport","Washington County","Minnesota",3692,3471,3162,3200,2932,2987,3205,2502,2633,2590,1936,1343,1422,1304,601,0,0,0
"Beardsley","Big Stone County","Minnesota",225,233,262,297,344,366,410,435,537,406,507,481,449,0,0,0,0,0
"Beaver Bay","Lake County","Minnesota",176,181,175,147,283,362,287,0,0,0,0,0,0,0,0,0,0,0
"Beaver Creek","Rock County","Minnesota",295,297,250,249,260,235,250,245,254,324,217,195,186,232,37,0,0,0
"Becker","Sherburne County","Minnesota",4687,4538,2673,902,601,365,279,264,239,214,210,210,0,0,0,0,0,0
"Bejou","Mahnomen County","Minnesota",91,89,94,110,109,157,164,173,200,99,0,0,0,0,0,0,0,0
"Belgrade","Stearns County","Minnesota",752,740,750,700,805,713,666,659,553,508,487,448,450,366,0,0,0,0
"Bellechester","Goodhue/Wabasha County","Minnesota",175,175,172,110,220,199,184,0,0,0,0,0,0,0,0,0,0,0
"Belle Plaine","Scott County","Minnesota",6902,6661,3789,3149,2754,2328,1931,1708,1407,1236,1251,1204,1121,814,629,497,0,0
"Bellingham","Lac qui Parle County","Minnesota",160,168,205,247,290,263,327,388,456,375,405,359,380,166,0,0,0,0
"Beltrami","Polk County","Minnesota",106,107,101,137,134,171,186,199,213,226,219,149,0,0,0,0,0,0
"Belview","Redwood County","Minnesota",364,384,412,383,438,429,400,381,409,350,381,290,254,0,0,0,0,0
"Bemidji","Beltrami County","Minnesota",14453,13431,11917,11245,10949,11490,9958,10001,9427,7202,7086,5099,2183,0,0,0,0,0
"Bena","Cass County","Minnesota",117,116,110,147,153,169,286,331,319,145,205,179,0,0,0,0,0,0
"Benson","Swift County","Minnesota",3107,3240,3376,3235,3656,3484,3678,3398,2729,2095,2111,1677,1525,877,456,0,0,0
"Bertha","Todd County","Minnesota",475,497,470,507,510,512,562,577,578,490,444,296,277,39,0,0,0,0
"Bethel","Anoka County","Minnesota",470,466,443,394,272,311,302,250,188,184,265,221,0,0,0,0,0,0
"Bigelow","Nobles County","Minnesota",237,235,231,232,249,262,256,238,250,199,223,195,0,0,0,0,0,0
"Big Falls","Koochiching County","Minnesota",225,236,264,341,490,534,526,441,509,440,365,325,0,0,0,0,0,0
"Bigfork","Itasca County","Minnesota",447,446,469,384,457,399,464,463,382,295,160,167,0,0,0,0,0,0
"Big Lake","Sherburne County","Minnesota",10360,10060,6063,3113,2210,1015,610,480,442,417,361,229,177,0,0,0,0,0
"Bingham Lake","Cottonwood County","Minnesota",128,126,167,155,222,214,254,229,251,243,273,285,311,0,0,0,0,0
"Birchwood Village","Washington County","Minnesota",878,870,968,1042,1059,926,598,312,91,99,0,0,0,0,0,0,0,0
"Bird Island","Renville County","Minnesota",1004,1042,1195,1326,1372,1309,1384,1333,1201,1004,976,931,846,441,289,0,0,0
"Biscay","McLeod County","Minnesota",111,113,114,113,114,105,70,0,0,0,0,0,0,0,0,0,0,0
"Biwabik","St. Louis County","Minnesota",995,969,954,1097,1428,1483,1836,1245,1304,1383,2024,1690,1299,0,0,0,0,0
"Blackduck","Beltrami County","Minnesota",788,785,696,718,653,595,765,732,753,704,788,942,0,0,0,0,0,0
"Blaine","Anoka County","Minnesota",61190,57186,44942,38975,28558,20573,7570,0,0,0,0,0,0,0,0,0,0,0
"Blomkest","Kandiyohi County","Minnesota",160,157,186,183,200,172,171,0,0,0,0,0,0,0,0,0,0,0
"Blooming Prairie","Steele County","Minnesota",1976,1996,1933,2043,1969,1804,1778,1442,1205,1046,1012,854,855,808,338,0,0,0
"Bloomington","Hennepin County","Minnesota",86314,82893,85172,86335,81831,81970,50498,0,0,0,0,0,0,0,0,0,0,0
"Blue Earth","Faribault County","Minnesota",3269,3353,3621,3745,4132,3965,4200,3843,3702,2884,2568,2319,2900,1569,1066,0,0,0
"Bluffton","Otter Tail County","Minnesota",210,207,210,187,206,195,211,239,234,204,220,148,0,0,69,0,0,0
"Bock","Mille Lacs County","Minnesota",106,106,106,115,105,105,91,96,125,109,0,0,0,0,0,0,0,0
"Borup","Norman County","Minnesota",107,110,91,119,160,128,145,0,0,0,0,0,0,0,0,0,0,0
"Bovey","Itasca County","Minnesota",817,804,662,662,813,858,1086,1320,1355,1248,1324,1377,0,0,0,0,0,0
"Bowlus","Morrison County","Minnesota",284,290,260,260,276,268,263,233,304,266,247,164,0,0,0,0,0,0
"Boyd","Lac qui Parle County","Minnesota",166,175,210,251,329,311,419,496,523,449,549,431,335,0,0,0,0,0
"Boy River","Cass County","Minnesota",46,47,38,43,50,44,51,82,79,92,0,0,0,0,0,0,0,0
"Braham","Isanti County","Minnesota",1790,1793,1276,1139,1015,744,728,697,578,579,511,406,0,0,0,0,0,0
"Brainerd","Crow Wing County","Minnesota",13425,13590,13178,12353,11489,11667,12898,12637,12071,10221,9591,8526,7524,5703,1865,0,0,0
"Brandon","Douglas County","Minnesota",478,489,450,441,473,414,353,319,345,311,292,276,272,225,0,0,0,0
"Breckenridge","Wilkin County","Minnesota",3340,3386,3559,3708,3909,4200,4335,3623,2745,2264,2401,1840,1282,655,0,0,0,0
"Breezy Point","Crow Wing County","Minnesota",2347,2346,979,432,384,233,134,154,114,0,0,0,0,0,0,0,0,0
"Brewster","Nobles County","Minnesota",470,473,502,532,559,563,500,478,467,396,405,311,234,0,0,0,0,0
"Bricelyn","Faribault County","Minnesota",350,365,379,426,487,470,542,639,601,509,564,352,166,0,0,0,0,0
"Brooklyn Center","Hennepin County","Minnesota",30729,30104,29172,28887,31230,35173,24356,4284,1870,1344,788,0,0,0,0,0,0,0
"Brooklyn Park","Hennepin County","Minnesota",78728,75781,67388,56381,43332,26230,10197,0,0,0,0,0,0,0,0,0,0,0
"Brook Park","Pine County","Minnesota",136,139,156,125,93,113,108,148,160,159,167,0,0,0,0,0,0,0
"Brooks","Red Lake County","Minnesota",140,141,141,158,173,163,148,0,0,0,0,0,0,0,0,0,0,0
"Brookston","St. Louis County","Minnesota",139,141,98,107,124,137,144,180,135,144,135,160,0,0,0,0,0,0
"Brooten","Stearns County","Minnesota",739,743,649,589,647,615,661,669,676,604,649,562,259,0,0,0,0,0
"Browerville","Todd County","Minnesota",761,790,735,782,693,665,744,735,786,709,681,633,466,86,0,0,0,0
"Brownsdale","Mower County","Minnesota",690,676,718,695,691,625,622,493,355,273,271,264,261,282,346,0,0,0
"Browns Valley","Traverse County","Minnesota",556,589,690,804,887,906,1033,1117,1075,981,1073,1058,721,498,64,0,0,0
"Brownsville","Houston County","Minnesota",459,466,517,415,418,417,382,330,298,274,338,361,453,447,607,625,0,0
"Brownton","McLeod County","Minnesota",739,762,807,781,697,688,698,696,723,632,540,509,454,384,75,0,0,0
