"Place","Type","County","State",2015,2010,2000
"Bradford","township","Clearfield County","Pennsylvania",2989,3034,3314
"Brady","township","Clearfield County","Pennsylvania",1977,2000,2010
"Burnside","township","Clearfield County","Pennsylvania",1060,1076,1128
"Chest","township","Clearfield County","Pennsylvania",506,515,547
"Cooper","township","Clearfield County","Pennsylvania",2664,2704,2731
"Covington","township","Clearfield County","Pennsylvania",513,526,621
"Decatur","township","Clearfield County","Pennsylvania",4797,4548,2974
"Ferguson","township","Clearfield County","Pennsylvania",453,444,410
"Girard","township","Clearfield County","Pennsylvania",519,534,674
"Goshen","township","Clearfield County","Pennsylvania",432,435,496
"Graham","township","Clearfield County","Pennsylvania",1367,1383,1236
"Greenwood","township","Clearfield County","Pennsylvania",368,372,424
"Gulich","township","Clearfield County","Pennsylvania",1222,1235,1275
"Huston","township","Clearfield County","Pennsylvania",1388,1433,1468
"Jordan","township","Clearfield County","Pennsylvania",459,461,543
"Karthaus","township","Clearfield County","Pennsylvania",896,811,811
"Knox","township","Clearfield County","Pennsylvania",635,647,705
"Lawrence","township","Clearfield County","Pennsylvania",7520,7681,7712
"Morris","township","Clearfield County","Pennsylvania",2911,2938,3063
"Penn","township","Clearfield County","Pennsylvania",1234,1264,1326
"Pike","township","Clearfield County","Pennsylvania",2312,2311,2309
"Pine","township","Clearfield County","Pennsylvania",59,60,77
"Sandy","township","Clearfield County","Pennsylvania",10687,10625,11556
"Union","township","Clearfield County","Pennsylvania",895,892,918
"Woodward","township","Clearfield County","Pennsylvania",4139,3992,3550
"Allison","township","Clinton County","Pennsylvania",196,193,198
"Bald Eagle","township","Clinton County","Pennsylvania",2097,2065,1898
"Beech Creek","township","Clinton County","Pennsylvania",1017,1015,1010
"Castanea","township","Clinton County","Pennsylvania",1190,1185,1233
"Chapman","township","Clinton County","Pennsylvania",855,848,993
"Colebrook","township","Clinton County","Pennsylvania",202,199,179
"Crawford","township","Clinton County","Pennsylvania",944,939,848
"Dunnstable","township","Clinton County","Pennsylvania",1018,1008,945
"East Keating","township","Clinton County","Pennsylvania",11,11,24
"Gallagher","township","Clinton County","Pennsylvania",387,381,340
"Greene","township","Clinton County","Pennsylvania",1737,1695,1464
"Grugan","township","Clinton County","Pennsylvania",52,51,52
"Lamar","township","Clinton County","Pennsylvania",2565,2517,2450
"Leidy","township","Clinton County","Pennsylvania",181,180,229
"Logan","township","Clinton County","Pennsylvania",818,817,773
"Noyes","township","Clinton County","Pennsylvania",357,357,419
"Pine Creek","township","Clinton County","Pennsylvania",3288,3215,3184
"Porter","township","Clinton County","Pennsylvania",1498,1460,1419
"Wayne","township","Clinton County","Pennsylvania",1698,1666,1363
"West Keating","township","Clinton County","Pennsylvania",29,29,42
"Woodward","township","Clinton County","Pennsylvania",2401,2372,2296
"Beaver","township","Columbia County","Pennsylvania",925,917,885
"Benton","township","Columbia County","Pennsylvania",1258,1245,1216
"Briar Creek","township","Columbia County","Pennsylvania",3007,3016,3061
"Catawissa","township","Columbia County","Pennsylvania",942,932,944
"Cleveland","township","Columbia County","Pennsylvania",1087,1110,1004
"Conyngham","township","Columbia County","Pennsylvania",758,758,792
"Fishing Creek","township","Columbia County","Pennsylvania",1415,1416,1393
"Franklin","township","Columbia County","Pennsylvania",589,595,597
"Greenwood","township","Columbia County","Pennsylvania",1919,1952,1932
"Hemlock","township","Columbia County","Pennsylvania",2264,2249,1874
"Jackson","township","Columbia County","Pennsylvania",632,626,598
"Locust","township","Columbia County","Pennsylvania",1413,1404,1410
"Madison","township","Columbia County","Pennsylvania",1607,1605,1590
"Main","township","Columbia County","Pennsylvania",1285,1236,1289
"Mifflin","township","Columbia County","Pennsylvania",2283,2322,2251
"Montour","township","Columbia County","Pennsylvania",1319,1344,1437
"Mount Pleasant","township","Columbia County","Pennsylvania",1602,1609,1459
"North Centre","township","Columbia County","Pennsylvania",2122,2105,2009
"Orange","township","Columbia County","Pennsylvania",1249,1257,1148
"Pine","township","Columbia County","Pennsylvania",1029,1046,1092
"Roaring Creek","township","Columbia County","Pennsylvania",540,545,495
"Scott","township","Columbia County","Pennsylvania",5088,5113,4768
"South Centre","township","Columbia County","Pennsylvania",1925,1937,1972
"Sugarloaf","township","Columbia County","Pennsylvania",904,913,885
"Athens","township","Crawford County","Pennsylvania",727,734,775
"Beaver","township","Crawford County","Pennsylvania",865,902,903
"Bloomfield","township","Crawford County","Pennsylvania",1866,1919,2051
"Cambridge","township","Crawford County","Pennsylvania",1518,1563,1486
"Conneaut","township","Crawford County","Pennsylvania",1423,1476,1550
"Cussewago","township","Crawford County","Pennsylvania",1540,1559,1597
"East Fairfield","township","Crawford County","Pennsylvania",893,922,848
"East Fallowfield","township","Crawford County","Pennsylvania",1590,1620,1434
"East Mead","township","Crawford County","Pennsylvania",1453,1493,1485
"Fairfield","township","Crawford County","Pennsylvania",989,1023,1104
"Greenwood","township","Crawford County","Pennsylvania",1423,1454,1487
"Hayfield","township","Crawford County","Pennsylvania",2872,2940,3092
"North Shenango","township","Crawford County","Pennsylvania",1364,1410,1387
"Oil Creek","township","Crawford County","Pennsylvania",1802,1877,1880
"Pine","township","Crawford County","Pennsylvania",452,462,531
"Randolph","township","Crawford County","Pennsylvania",1732,1782,1838
"Richmond","township","Crawford County","Pennsylvania",1435,1475,1379
"Rockdale","township","Crawford County","Pennsylvania",1467,1506,1343
"Rome","township","Crawford County","Pennsylvania",1795,1840,1745
"Sadsbury","township","Crawford County","Pennsylvania",2883,2933,2941
"South Shenango","township","Crawford County","Pennsylvania",2000,2037,2047
"Sparta","township","Crawford County","Pennsylvania",1781,1832,1740
"Spring","township","Crawford County","Pennsylvania",1522,1548,1571
"Steuben","township","Crawford County","Pennsylvania",780,804,908
"Summerhill","township","Crawford County","Pennsylvania",1210,1236,1350
"Summit","township","Crawford County","Pennsylvania",1977,2027,2172
"Troy","township","Crawford County","Pennsylvania",1194,1235,1339
"Union","township","Crawford County","Pennsylvania",977,1010,1049
"Venango","township","Crawford County","Pennsylvania",982,997,956
"Vernon","township","Crawford County","Pennsylvania",5478,5630,5499
"Wayne","township","Crawford County","Pennsylvania",1507,1539,1558
"West Fallowfield","township","Crawford County","Pennsylvania",584,605,659
"West Mead","township","Crawford County","Pennsylvania",5139,5249,5227
"West Shenango","township","Crawford County","Pennsylvania",492,504,541
"Woodcock","township","Crawford County","Pennsylvania",2786,2856,2976
"Cooke","township","Cumberland County","Pennsylvania",185,179,117
"Dickinson","township","Cumberland County","Pennsylvania",5356,5223,4702
"East Pennsboro","township","Cumberland County","Pennsylvania",21533,20228,18254
"Hampden","township","Cumberland County","Pennsylvania",29350,28044,24135
"Hopewell","township","Cumberland County","Pennsylvania",2418,2329,2096
"Lower Allen","township","Cumberland County","Pennsylvania",18999,17980,17437
"Lower Frankford","township","Cumberland County","Pennsylvania",1773,1732,1823
"Lower Mifflin","township","Cumberland County","Pennsylvania",1780,1783,1620
"Middlesex","township","Cumberland County","Pennsylvania",7310,7040,6669
"Monroe","township","Cumberland County","Pennsylvania",6066,5823,5530
"North Middleton","township","Cumberland County","Pennsylvania",11478,11143,10197
"North Newton","township","Cumberland County","Pennsylvania",2504,2430,2169
"Penn","township","Cumberland County","Pennsylvania",2969,2924,2807
"Shippensburg","township","Cumberland County","Pennsylvania",5476,5429,4504
"Silver Spring","township","Cumberland County","Pennsylvania",16315,13657,10592
"South Middleton","township","Cumberland County","Pennsylvania",15228,14663,4787
"South Newton","township","Cumberland County","Pennsylvania",1437,1383,12939
"Southampton","township","Cumberland County","Pennsylvania",6796,6359,1290
"Upper Allen","township","Cumberland County","Pennsylvania",19519,18059,15338
"Upper Frankford","township","Cumberland County","Pennsylvania",2044,2005,1807
"Upper Mifflin","township","Cumberland County","Pennsylvania",1359,1304,1347
"West Pennsboro","township","Cumberland County","Pennsylvania",5606,5561,5263
"Conewago","township","Dauphin County","Pennsylvania",3016,2997,2847
"Derry","township","Dauphin County","Pennsylvania",24984,24679,21273
"East Hanover","township","Dauphin County","Pennsylvania",5890,5718,5322
"Halifax","township","Dauphin County","Pennsylvania",3544,3483,3329
"Jackson","township","Dauphin County","Pennsylvania",1976,1941,1728
"Jefferson","township","Dauphin County","Pennsylvania",375,362,327
"Londonderry","township","Dauphin County","Pennsylvania",5212,5235,5224
"Lower Paxton","township","Dauphin County","Pennsylvania",48378,47360,44424
"Lower Swatara","township","Dauphin County","Pennsylvania",8771,8268,8149
"Lykens","township","Dauphin County","Pennsylvania",1643,1618,1095
"Middle Paxton","township","Dauphin County","Pennsylvania",5045,4976,4823
"Mifflin","township","Dauphin County","Pennsylvania",812,784,662
"Reed","township","Dauphin County","Pennsylvania",240,239,182
"Rush","township","Dauphin County","Pennsylvania",232,231,180
"South Hanover","township","Dauphin County","Pennsylvania",6703,6248,4793
"Susquehanna","township","Dauphin County","Pennsylvania",24716,24036,21895
"Swatara","township","Dauphin County","Pennsylvania",24656,23362,22611
"Upper Paxton","township","Dauphin County","Pennsylvania",4213,4161,3930
"Washington","township","Dauphin County","Pennsylvania",2268,2268,2047
"Wayne","township","Dauphin County","Pennsylvania",1356,1341,1184
"West Hanover","township","Dauphin County","Pennsylvania",9830,9343,6505
"Wiconisco","township","Dauphin County","Pennsylvania",1192,1210,1168
"Williams","township","Dauphin County","Pennsylvania",1111,1112,1135
"Aston","township","Delaware County","Pennsylvania",16799,16592,16203
"Bethel","township","Delaware County","Pennsylvania",9166,8791,6421
"Chadds Ford","township","Delaware County","Pennsylvania",3740,3640,3170
"Chester","township","Delaware County","Pennsylvania",4103,3940,4604
"Concord","township","Delaware County","Pennsylvania",17663,17231,9933
"Darby","township","Delaware County","Pennsylvania",9318,9264,9622
"Edgmont","township","Delaware County","Pennsylvania",4069,3987,3918
"Haverford","township","Delaware County","Pennsylvania",49057,48491,48498
"Lower Chichester","township","Delaware County","Pennsylvania",3477,3469,3591
"Marple","township","Delaware County","Pennsylvania",23743,23428,23737
"Middletown","township","Delaware County","Pennsylvania",15998,15807,16064
"Nether Providence","township","Delaware County","Pennsylvania",13808,13706,13456
"Newtown","township","Delaware County","Pennsylvania",12754,12216,11700
"Radnor","township","Delaware County","Pennsylvania",31612,31531,30878
"Ridley","township","Delaware County","Pennsylvania",31053,30768,30791
"Springfield","township","Delaware County","Pennsylvania",24401,24211,23677
"Thornbury","township","Delaware County","Pennsylvania",7857,8028,7093
"Tinicum","township","Delaware County","Pennsylvania",4109,4091,4353
"Upper Chichester","township","Delaware County","Pennsylvania",17003,16738,16842
"Upper Darby","township","Delaware County","Pennsylvania",82878,82795,81821
"Upper Providence","township","Delaware County","Pennsylvania",10448,10142,10509
"Benezette","township","Elk County","Pennsylvania",197,207,227
"Fox","township","Elk County","Pennsylvania",3525,3630,3734
"Highland","township","Elk County","Pennsylvania",477,492,509
"Horton","township","Elk County","Pennsylvania",1408,1452,1574
"Jay","township","Elk County","Pennsylvania",1976,2072,2094
"Jones","township","Elk County","Pennsylvania",1584,1624,1721
"Millstone","township","Elk County","Pennsylvania",78,82,95
"Ridgway","township","Elk County","Pennsylvania",2484,2523,2802
"Spring Creek","township","Elk County","Pennsylvania",224,233,260
"Amity","township","Erie County","Pennsylvania",1070,1073,1140
"Concord","township","Erie County","Pennsylvania",1306,1344,1361
"Conneaut","township","Erie County","Pennsylvania",4318,4290,3908
"Elk Creek","township","Erie County","Pennsylvania",1776,1798,1800
"Fairview","township","Erie County","Pennsylvania",10180,10102,10140
"Franklin","township","Erie County","Pennsylvania",1636,1633,1609
"Girard","township","Erie County","Pennsylvania",4986,5102,5133
"Greene","township","Erie County","Pennsylvania",4639,4706,4768
"Greenfield","township","Erie County","Pennsylvania",1925,1933,1909
"Harborcreek","township","Erie County","Pennsylvania",17584,17234,15178
"Lawrence Park","township","Erie County","Pennsylvania",3855,3982,4048
"LeBoeuf","township","Erie County","Pennsylvania",1666,1698,1680
"McKean","township","Erie County","Pennsylvania",4396,4409,4619
"Millcreek","township","Erie County","Pennsylvania",54003,53515,52129
"North East","township","Erie County","Pennsylvania",6310,6315,7702
"Springfield","township","Erie County","Pennsylvania",3352,3425,3378
"Summit","township","Erie County","Pennsylvania",6884,6603,5529
"Union","township","Erie County","Pennsylvania",1626,1655,1663
"Venango","township","Erie County","Pennsylvania",2298,2297,2277
"Washington","township","Erie County","Pennsylvania",4512,4432,4526
"Waterford","township","Erie County","Pennsylvania",3866,3920,3878
"Wayne","township","Erie County","Pennsylvania",1619,1659,1766
"Brownsville","township","Fayette County","Pennsylvania",669,683,769
"Bullskin","township","Fayette County","Pennsylvania",6814,6966,7782
"Connellsville","township","Fayette County","Pennsylvania",2312,2391,2483
"Dunbar","township","Fayette County","Pennsylvania",6969,7126,7562
"Franklin","township","Fayette County","Pennsylvania",2468,2528,2628
"Georges","township","Fayette County","Pennsylvania",6450,6612,6752
"German","township","Fayette County","Pennsylvania",4977,5097,5595
"Henry Clay","township","Fayette County","Pennsylvania",2022,2066,1984
"Jefferson","township","Fayette County","Pennsylvania",1973,2015,2259
"Lower Tyrone","township","Fayette County","Pennsylvania",1096,1123,1171
"Luzerne","township","Fayette County","Pennsylvania",5907,5965,4683
"Menallen","township","Fayette County","Pennsylvania",4089,4205,4644
"Nicholson","township","Fayette County","Pennsylvania",1761,1805,1989
"North Union","township","Fayette County","Pennsylvania",12441,12728,14140
"Perry","township","Fayette County","Pennsylvania",2491,2552,2786
"Redstone","township","Fayette County","Pennsylvania",5448,5566,6397
"Saltlick","township","Fayette County","Pennsylvania",3393,3461,3715
"South Union","township","Fayette County","Pennsylvania",10612,10681,11337
"Springfield","township","Fayette County","Pennsylvania",2966,3043,3111
"Springhill","township","Fayette County","Pennsylvania",2834,2907,2974
"Stewart","township","Fayette County","Pennsylvania",716,731,743
"Upper Tyrone","township","Fayette County","Pennsylvania",2005,2059,2244
"Washington","township","Fayette County","Pennsylvania",3765,3902,4461
"Wharton","township","Fayette County","Pennsylvania",3497,3575,4145
"Barnett","township","Forest County","Pennsylvania",341,361,349
"Green","township","Forest County","Pennsylvania",489,522,397
"Harmony","township","Forest County","Pennsylvania",623,666,511
"Hickory","township","Forest County","Pennsylvania",523,558,525
"Howe","township","Forest County","Pennsylvania",398,405,417
"Jenks","township","Forest County","Pennsylvania",3562,3629,1261
"Kingsley","township","Forest County","Pennsylvania",339,363,261
"Tionesta","township","Forest County","Pennsylvania",684,729,610
"Antrim","township","Franklin County","Pennsylvania",15470,14893,12504
"Fannett","township","Franklin County","Pennsylvania",2597,2548,2370
"Greene","township","Franklin County","Pennsylvania",17484,16700,12284
"Guilford","township","Franklin County","Pennsylvania",14761,14531,13100
"Hamilton","township","Franklin County","Pennsylvania",11111,10788,8949
"Letterkenny","township","Franklin County","Pennsylvania",2355,2318,2074
"Lurgan","township","Franklin County","Pennsylvania",2176,2151,2014
"Metal","township","Franklin County","Pennsylvania",1875,1866,1721
"Montgomery","township","Franklin County","Pennsylvania",6193,6116,4949
"Peters","township","Franklin County","Pennsylvania",4456,4430,4251
"Quincy","township","Franklin County","Pennsylvania",5523,5541,5846
"Southampton","township","Franklin County","Pennsylvania",8526,7987,5775
"St. Thomas","township","Franklin County","Pennsylvania",5980,5935,6138
"Warren","township","Franklin County","Pennsylvania",376,369,334
"Washington","township","Franklin County","Pennsylvania",14532,14009,11559
"Ayr","township","Fulton County","Pennsylvania",2044,1942,1982
"Belfast","township","Fulton County","Pennsylvania",1440,1448,1341
"Bethel","township","Fulton County","Pennsylvania",1503,1508,1420
"Brush Creek","township","Fulton County","Pennsylvania",795,819,730
"Dublin","township","Fulton County","Pennsylvania",1227,1264,1277
"Licking Creek","township","Fulton County","Pennsylvania",1683,1703,1532
"Taylor","township","Fulton County","Pennsylvania",1091,1118,1237
"Thompson","township","Fulton County","Pennsylvania",1092,1098,998
"Todd","township","Fulton County","Pennsylvania",1523,0,"(X)"
"Union","township","Fulton County","Pennsylvania",705,706,634
"Wells","township","Fulton County","Pennsylvania",463,477,529
"Aleppo","township","Greene County","Pennsylvania",498,502,597
"Center","township","Greene County","Pennsylvania",1220,1267,1393
"Cumberland","township","Greene County","Pennsylvania",6422,6623,6564
"Dunkard","township","Greene County","Pennsylvania",2325,2372,2358
"Franklin","township","Greene County","Pennsylvania",7071,7280,7694
"Freeport","township","Greene County","Pennsylvania",301,310,302
"Gilmore","township","Greene County","Pennsylvania",243,260,295
"Gray","township","Greene County","Pennsylvania",217,219,236
"Greene","township","Greene County","Pennsylvania",421,445,445
"Jackson","township","Greene County","Pennsylvania",468,487,516
"Jefferson","township","Greene County","Pennsylvania",2285,2352,2528
"Monongahela","township","Greene County","Pennsylvania",1533,1572,1714
"Morgan","township","Greene County","Pennsylvania",2480,2587,2600
"Morris","township","Greene County","Pennsylvania",809,818,1040
"Perry","township","Greene County","Pennsylvania",1464,1521,1720
"Richhill","township","Greene County","Pennsylvania",850,896,1062
"Springhill","township","Greene County","Pennsylvania",335,349,476
"Washington","township","Greene County","Pennsylvania",1058,1098,1106
"Wayne","township","Greene County","Pennsylvania",1185,1197,1223
"Whiteley","township","Greene County","Pennsylvania",634,649,754
"Barree","township","Huntingdon County","Pennsylvania",470,469,460
"Brady","township","Huntingdon County","Pennsylvania",1146,1172,1035
"Carbon","township","Huntingdon County","Pennsylvania",363,375,428
"Cass","township","Huntingdon County","Pennsylvania",1103,1119,1062
"Clay","township","Huntingdon County","Pennsylvania",905,926,920
"Cromwell","township","Huntingdon County","Pennsylvania",1592,1510,1632
"Dublin","township","Huntingdon County","Pennsylvania",1278,1290,1280
"Franklin","township","Huntingdon County","Pennsylvania",466,466,447
"Henderson","township","Huntingdon County","Pennsylvania",906,933,972
"Hopewell","township","Huntingdon County","Pennsylvania",589,586,587
"Jackson","township","Huntingdon County","Pennsylvania",859,872,882
"Juniata","township","Huntingdon County","Pennsylvania",547,554,553
"Lincoln","township","Huntingdon County","Pennsylvania",334,338,319
"Logan","township","Huntingdon County","Pennsylvania",666,678,703
"Miller","township","Huntingdon County","Pennsylvania",455,462,514
"Morris","township","Huntingdon County","Pennsylvania",418,410,416
"Oneida","township","Huntingdon County","Pennsylvania",1074,1077,1129
"Penn","township","Huntingdon County","Pennsylvania",1080,1077,1054
"Porter","township","Huntingdon County","Pennsylvania",1946,1968,1917
"Shirley","township","Huntingdon County","Pennsylvania",2488,2524,2526
"Smithfield","township","Huntingdon County","Pennsylvania",4496,4390,4466
"Springfield","township","Huntingdon County","Pennsylvania",646,654,612
"Spruce Creek","township","Huntingdon County","Pennsylvania",237,240,263
"Tell","township","Huntingdon County","Pennsylvania",644,662,648
"Todd","township","Huntingdon County","Pennsylvania",943,952,"(X)"
"Union","township","Huntingdon County","Pennsylvania",1025,1029,1005
"Walker","township","Huntingdon County","Pennsylvania",1939,1947,1747
"Warriors Mark","township","Huntingdon County","Pennsylvania",1825,1796,1635
"West","township","Huntingdon County","Pennsylvania",565,571,528
"Wood","township","Huntingdon County","Pennsylvania",712,708,713
"Armstrong","township","Indiana County","Pennsylvania",2895,2998,3090
"Banks","township","Indiana County","Pennsylvania",971,1018,997
"Black Lick","township","Indiana County","Pennsylvania",1186,1237,1317
"Brush Valley","township","Indiana County","Pennsylvania",1786,1858,1881
"Buffington","township","Indiana County","Pennsylvania",1295,1328,1275
"Burrell","township","Indiana County","Pennsylvania",4215,4393,3746
"Canoe","township","Indiana County","Pennsylvania",1445,1505,1670
"Center","township","Indiana County","Pennsylvania",4575,4764,4876
"Cherryhill","township","Indiana County","Pennsylvania",2681,2765,2842
"Conemaugh","township","Indiana County","Pennsylvania",2203,2294,2437
"East Mahoning","township","Indiana County","Pennsylvania",1032,1077,1196
"East Wheatfield","township","Indiana County","Pennsylvania",2272,2366,2607
"Grant","township","Indiana County","Pennsylvania",708,741,696
"Green","township","Indiana County","Pennsylvania",3663,3839,3995
"Montgomery","township","Indiana County","Pennsylvania",1503,1568,1706
"North Mahoning","township","Indiana County","Pennsylvania",1368,1428,1383
"Pine","township","Indiana County","Pennsylvania",1935,2033,2140
"Rayne","township","Indiana County","Pennsylvania",2870,2992,3292
"South Mahoning","township","Indiana County","Pennsylvania",1762,1841,1852
"Washington","township","Indiana County","Pennsylvania",1728,1808,1805
"West Mahoning","township","Indiana County","Pennsylvania",1304,1357,1128
"West Wheatfield","township","Indiana County","Pennsylvania",2213,2314,2375
"White","township","Indiana County","Pennsylvania",16079,15821,14034
"Young","township","Indiana County","Pennsylvania",1696,1775,1744
"Barnett","township","Jefferson County","Pennsylvania",250,254,272
"Beaver","township","Jefferson County","Pennsylvania",490,498,544
"Bell","township","Jefferson County","Pennsylvania",2022,2056,2029
"Clover","township","Jefferson County","Pennsylvania",440,448,474
"Eldred","township","Jefferson County","Pennsylvania",1204,1226,1277
"Gaskill","township","Jefferson County","Pennsylvania",696,708,671
"Heath","township","Jefferson County","Pennsylvania",121,124,160
"Henderson","township","Jefferson County","Pennsylvania",1782,1816,1727
"Knox","township","Jefferson County","Pennsylvania",1022,1042,1056
"McCalmont","township","Jefferson County","Pennsylvania",1061,1082,1068
"Oliver","township","Jefferson County","Pennsylvania",1063,1083,1129
"Perry","township","Jefferson County","Pennsylvania",1203,1226,1289
"Pine Creek","township","Jefferson County","Pennsylvania",1333,1352,1369
"Polk","township","Jefferson County","Pennsylvania",261,265,294
"Porter","township","Jefferson County","Pennsylvania",300,305,282
"Ringgold","township","Jefferson County","Pennsylvania",728,741,764
"Rose","township","Jefferson County","Pennsylvania",1225,1255,1232
"Snyder","township","Jefferson County","Pennsylvania",2513,2547,2432
"Union","township","Jefferson County","Pennsylvania",839,855,816
"Warsaw","township","Jefferson County","Pennsylvania",1398,1424,1346
"Washington","township","Jefferson County","Pennsylvania",1891,1926,1931
"Winslow","township","Jefferson County","Pennsylvania",2580,2622,2591
"Young","township","Jefferson County","Pennsylvania",1719,1749,1800
"Beale","township","Juniata County","Pennsylvania",835,830,726
"Delaware","township","Juniata County","Pennsylvania",1564,1547,1464
"Fayette","township","Juniata County","Pennsylvania",3508,3478,3252
"Fermanagh","township","Juniata County","Pennsylvania",2839,2811,2544
"Greenwood","township","Juniata County","Pennsylvania",622,617,548
"Lack","township","Juniata County","Pennsylvania",776,785,750
"Milford","township","Juniata County","Pennsylvania",2099,2088,1758
"Monroe","township","Juniata County","Pennsylvania",2225,2237,2042
"Spruce Hill","township","Juniata County","Pennsylvania",862,834,724
"Susquehanna","township","Juniata County","Pennsylvania",1257,1250,1261
"Turbett","township","Juniata County","Pennsylvania",995,981,819
"Tuscarora","township","Juniata County","Pennsylvania",1239,1240,1159
"Walker","township","Juniata County","Pennsylvania",2760,2738,2598
"Benton","township","Lackawanna County","Pennsylvania",1867,1908,1616
"Carbondale","township","Lackawanna County","Pennsylvania",1108,1115,1881
"Clifton","township","Lackawanna County","Pennsylvania",1451,1480,1008
"Covington","township","Lackawanna County","Pennsylvania",2269,2284,1139
"Elmhurst","township","Lackawanna County","Pennsylvania",861,894,1994
"Fell","township","Lackawanna County","Pennsylvania",2096,2178,838
"Glenburn","township","Lackawanna County","Pennsylvania",1227,1246,2331
"Greenfield","township","Lackawanna County","Pennsylvania",2024,2105,1212
"Jefferson","township","Lackawanna County","Pennsylvania",3686,3731,1990
"La Plume","township","Lackawanna County","Pennsylvania",575,602,3592
"Madison","township","Lackawanna County","Pennsylvania",2661,2750,603
"Newton","township","Lackawanna County","Pennsylvania",2792,2846,2542
"North Abington","township","Lackawanna County","Pennsylvania",683,703,2699
"Ransom","township","Lackawanna County","Pennsylvania",1383,1420,782
"Roaring Brook","township","Lackawanna County","Pennsylvania",1932,1907,1429
"Scott","township","Lackawanna County","Pennsylvania",4828,4905,1637
"South Abington","township","Lackawanna County","Pennsylvania",9022,9073,4931
"Spring Brook","township","Lackawanna County","Pennsylvania",2702,2768,8638
"Thornhurst","township","Lackawanna County","Pennsylvania",1058,1085,2367
"Waverly","township","Lackawanna County","Pennsylvania",1714,0,798
"West Abington","township","Lackawanna County","Pennsylvania",252,250,311
"Bart","township","Lancaster County","Pennsylvania",3301,3094,3003
"Brecknock","township","Lancaster County","Pennsylvania",7416,7199,6699
"Caernarvon","township","Lancaster County","Pennsylvania",4798,4748,4278
"Clay","township","Lancaster County","Pennsylvania",6797,6308,5173
"Colerain","township","Lancaster County","Pennsylvania",3795,3635,3261
"Conestoga","township","Lancaster County","Pennsylvania",3849,3776,3749
"Conoy","township","Lancaster County","Pennsylvania",3425,3194,3067
"Drumore","township","Lancaster County","Pennsylvania",2617,2560,2243
"Earl","township","Lancaster County","Pennsylvania",7165,7024,6183
"East Cocalico","township","Lancaster County","Pennsylvania",10471,10310,9954
"East Donegal","township","Lancaster County","Pennsylvania",8242,7755,5405
"East Drumore","township","Lancaster County","Pennsylvania",3876,3791,3535
"East Earl","township","Lancaster County","Pennsylvania",6792,6507,5723
"East Hempfield","township","Lancaster County","Pennsylvania",24309,23522,21399
"East Lampeter","township","Lancaster County","Pennsylvania",16986,16424,13556
"Eden","township","Lancaster County","Pennsylvania",2159,2094,1856
"Elizabeth","township","Lancaster County","Pennsylvania",3988,3886,3833
"Ephrata","township","Lancaster County","Pennsylvania",10158,9400,8026
"Fulton","township","Lancaster County","Pennsylvania",3154,3074,2826
"Lancaster","township","Lancaster County","Pennsylvania",17064,16149,13944
"Leacock","township","Lancaster County","Pennsylvania",5474,5220,4878
"Little Britain","township","Lancaster County","Pennsylvania",4225,4106,3514
"Manheim","township","Lancaster County","Pennsylvania",39648,38133,33697
"Manor","township","Lancaster County","Pennsylvania",20583,19612,16498
"Martic","township","Lancaster County","Pennsylvania",5212,5190,4990
"Mount Joy","township","Lancaster County","Pennsylvania",10771,9873,7944
"Paradise","township","Lancaster County","Pennsylvania",5561,5131,4698
"Penn","township","Lancaster County","Pennsylvania",9196,8789,7312
"Pequea","township","Lancaster County","Pennsylvania",4748,4605,4358
"Providence","township","Lancaster County","Pennsylvania",6947,6897,6651
"Rapho","township","Lancaster County","Pennsylvania",11680,10442,8578
"Sadsbury","township","Lancaster County","Pennsylvania",3487,3395,3025
"Salisbury","township","Lancaster County","Pennsylvania",11431,11062,10012
"Strasburg","township","Lancaster County","Pennsylvania",4263,4182,4021
"Upper Leacock","township","Lancaster County","Pennsylvania",8873,8708,8229
"Warwick","township","Lancaster County","Pennsylvania",18486,17783,15475
"West Cocalico","township","Lancaster County","Pennsylvania",7413,7280,6967
"West Donegal","township","Lancaster County","Pennsylvania",8688,8260,6539
"West Earl","township","Lancaster County","Pennsylvania",8144,7868,6766
"West Hempfield","township","Lancaster County","Pennsylvania",16478,16153,15128
"West Lampeter","township","Lancaster County","Pennsylvania",15888,15209,13145
"Hickory","township","Lawrence County","Pennsylvania",2425,2470,2356
"Little Beaver","township","Lawrence County","Pennsylvania",1366,1411,1310
"Mahoning","township","Lawrence County","Pennsylvania",2965,3083,3447
"Neshannock","township","Lawrence County","Pennsylvania",9368,9609,9216
"North Beaver","township","Lawrence County","Pennsylvania",4013,4121,4022
"Perry","township","Lawrence County","Pennsylvania",1898,1938,1930
"Plain Grove","township","Lawrence County","Pennsylvania",794,813,854
"Pulaski","township","Lawrence County","Pennsylvania",3343,3452,3658
"Scott","township","Lawrence County","Pennsylvania",2282,2347,2235
"Shenango","township","Lawrence County","Pennsylvania",7352,7479,7633
"Slippery Rock","township","Lawrence County","Pennsylvania",3180,3283,3179
"Taylor","township","Lawrence County","Pennsylvania",1016,1052,1198
"Union","township","Lawrence County","Pennsylvania",5017,5190,5103
"Washington","township","Lawrence County","Pennsylvania",783,799,714
"Wayne","township","Lawrence County","Pennsylvania",2524,2606,2328
"Wilmington","township","Lawrence County","Pennsylvania",2635,2715,2760
"Annville","township","Lebanon County","Pennsylvania",4824,4767,4518
"Bethel","township","Lebanon County","Pennsylvania",5127,5007,4526
