"Place","Type","County","State",2015,2010,2000
"Independence","township","Beaver County","Pennsylvania",2452,2503,2802
"Marion","township","Beaver County","Pennsylvania",902,913,940
"New Sewickley","township","Beaver County","Pennsylvania",7440,7360,7076
"North Sewickley","township","Beaver County","Pennsylvania",5509,5488,6120
"Patterson","township","Beaver County","Pennsylvania",2973,3029,3197
"Potter","township","Beaver County","Pennsylvania",581,548,580
"Pulaski","township","Beaver County","Pennsylvania",1463,1500,1674
"Raccoon","township","Beaver County","Pennsylvania",3004,3064,3397
"Rochester","township","Beaver County","Pennsylvania",2738,2802,3129
"South Beaver","township","Beaver County","Pennsylvania",2666,2717,2974
"Vanport","township","Beaver County","Pennsylvania",1297,1321,1451
"White","township","Beaver County","Pennsylvania",1367,1394,1434
"Bedford","township","Bedford County","Pennsylvania",5229,5395,5417
"Bloomfield","township","Bedford County","Pennsylvania",997,1016,973
"Broad Top","township","Bedford County","Pennsylvania",1632,1687,1827
"Colerain","township","Bedford County","Pennsylvania",1180,1195,1147
"Cumberland Valley","township","Bedford County","Pennsylvania",1561,1597,1494
"East Providence","township","Bedford County","Pennsylvania",1845,1854,1858
"East St. Clair","township","Bedford County","Pennsylvania",2949,3048,3123
"Harrison","township","Bedford County","Pennsylvania",932,972,1007
"Hopewell","township","Bedford County","Pennsylvania",1975,2010,1894
"Juniata","township","Bedford County","Pennsylvania",935,954,1016
"Kimmel","township","Bedford County","Pennsylvania",1576,1616,1609
"King","township","Bedford County","Pennsylvania",1205,1238,1264
"Liberty","township","Bedford County","Pennsylvania",1309,1368,1477
"Lincoln","township","Bedford County","Pennsylvania",404,425,380
"Londonderry","township","Bedford County","Pennsylvania",1800,1856,1760
"Mann","township","Bedford County","Pennsylvania",486,500,481
"Monroe","township","Bedford County","Pennsylvania",1295,1336,1372
"Napier","township","Bedford County","Pennsylvania",2143,2198,2145
"Pavia","township","Bedford County","Pennsylvania",279,295,325
"Snake Spring","township","Bedford County","Pennsylvania",1748,1639,1482
"South Woodbury","township","Bedford County","Pennsylvania",2107,2155,1010
"Southampton","township","Bedford County","Pennsylvania",945,976,2000
"West Providence","township","Bedford County","Pennsylvania",3118,3210,3323
"West St. Clair","township","Bedford County","Pennsylvania",1712,1730,1647
"Woodbury","township","Bedford County","Pennsylvania",1248,1263,1198
"Albany","township","Berks County","Pennsylvania",1732,1724,1662
"Alsace","township","Berks County","Pennsylvania",3794,3751,3689
"Amity","township","Berks County","Pennsylvania",12836,12583,8867
"Bern","township","Berks County","Pennsylvania",6945,6797,6758
"Bethel","township","Berks County","Pennsylvania",4132,4112,4166
"Brecknock","township","Berks County","Pennsylvania",4628,4585,4459
"Caernarvon","township","Berks County","Pennsylvania",4065,4006,2312
"Centre","township","Berks County","Pennsylvania",4061,4036,3631
"Colebrookdale","township","Berks County","Pennsylvania",5066,5078,5270
"Cumru","township","Berks County","Pennsylvania",15370,15147,13816
"District","township","Berks County","Pennsylvania",1408,1337,1449
"Douglass","township","Berks County","Pennsylvania",3538,3306,3327
"Earl","township","Berks County","Pennsylvania",3231,3195,3050
"Exeter","township","Berks County","Pennsylvania",25874,25550,21161
"Greenwich","township","Berks County","Pennsylvania",3724,3725,3386
"Heidelberg","township","Berks County","Pennsylvania",1737,1724,1636
"Hereford","township","Berks County","Pennsylvania",2925,2997,3174
"Jefferson","township","Berks County","Pennsylvania",2012,1977,1604
"Longswamp","township","Berks County","Pennsylvania",5694,5679,5608
"Lower Alsace","township","Berks County","Pennsylvania",4468,4475,4478
"Lower Heidelberg","township","Berks County","Pennsylvania",5959,5513,4150
"Maidencreek","township","Berks County","Pennsylvania",9424,9126,6553
"Marion","township","Berks County","Pennsylvania",1809,1688,1573
"Maxatawny","township","Berks County","Pennsylvania",7433,7906,5982
"Muhlenberg","township","Berks County","Pennsylvania",20096,19628,16305
"North Heidelberg","township","Berks County","Pennsylvania",1225,1214,1325
"Oley","township","Berks County","Pennsylvania",3717,3620,3583
"Ontelaunee","township","Berks County","Pennsylvania",1827,1646,1217
"Penn","township","Berks County","Pennsylvania",2035,1949,1993
"Perry","township","Berks County","Pennsylvania",2430,2417,2517
"Pike","township","Berks County","Pennsylvania",1752,1723,1677
"Richmond","township","Berks County","Pennsylvania",3479,3397,3500
"Robeson","township","Berks County","Pennsylvania",7360,7216,6869
"Rockland","township","Berks County","Pennsylvania",3803,3778,3765
"Ruscombmanor","township","Berks County","Pennsylvania",4150,4112,3776
"South Heidelberg","township","Berks County","Pennsylvania",7374,7271,5491
"Spring","township","Berks County","Pennsylvania",27438,27119,21805
"Tilden","township","Berks County","Pennsylvania",3592,3597,3553
"Tulpehocken","township","Berks County","Pennsylvania",3304,3274,3290
"Union","township","Berks County","Pennsylvania",3563,3503,3453
"Upper Bern","township","Berks County","Pennsylvania",1741,1734,1479
"Upper Tulpehocken","township","Berks County","Pennsylvania",1568,1575,1495
"Washington","township","Berks County","Pennsylvania",3990,3810,3354
"Windsor","township","Berks County","Pennsylvania",2334,2279,2392
"Allegheny","township","Blair County","Pennsylvania",6665,6738,6965
"Antis","township","Blair County","Pennsylvania",6417,6499,6328
"Blair","township","Blair County","Pennsylvania",4553,4494,4587
"Catharine","township","Blair County","Pennsylvania",716,724,758
"Frankstown","township","Blair County","Pennsylvania",7435,7381,7694
"Freedom","township","Blair County","Pennsylvania",3424,3458,3261
"Greenfield","township","Blair County","Pennsylvania",4089,4173,3904
"Huston","township","Blair County","Pennsylvania",1343,1336,1262
"Juniata","township","Blair County","Pennsylvania",1100,1112,1115
"Logan","township","Blair County","Pennsylvania",12312,12289,11925
"North Woodbury","township","Blair County","Pennsylvania",2669,2644,2276
"Snyder","township","Blair County","Pennsylvania",3314,3364,3358
"Taylor","township","Blair County","Pennsylvania",2469,2465,2239
"Tyrone","township","Blair County","Pennsylvania",1886,1885,1800
"Woodbury","township","Blair County","Pennsylvania",1675,1693,1637
"Albany","township","Bradford County","Pennsylvania",893,911,927
"Armenia","township","Bradford County","Pennsylvania",179,180,166
"Asylum","township","Bradford County","Pennsylvania",1054,1058,1097
"Athens","township","Bradford County","Pennsylvania",5090,5251,5058
"Burlington","township","Bradford County","Pennsylvania",787,791,799
"Canton","township","Bradford County","Pennsylvania",2096,2143,2084
"Columbia","township","Bradford County","Pennsylvania",1175,1196,1162
"Franklin","township","Bradford County","Pennsylvania",714,723,698
"Granville","township","Bradford County","Pennsylvania",932,950,873
"Herrick","township","Bradford County","Pennsylvania",753,754,676
"Leroy","township","Bradford County","Pennsylvania",705,718,627
"Litchfield","township","Bradford County","Pennsylvania",1320,1320,1307
"Monroe","township","Bradford County","Pennsylvania",1227,1250,1271
"North Towanda","township","Bradford County","Pennsylvania",1116,1132,927
"Orwell","township","Bradford County","Pennsylvania",1137,1159,1097
"Overton","township","Bradford County","Pennsylvania",237,247,187
"Pike","township","Bradford County","Pennsylvania",674,671,657
"Ridgebury","township","Bradford County","Pennsylvania",1956,1978,1982
"Rome","township","Bradford County","Pennsylvania",1232,1191,1221
"Sheshequin","township","Bradford County","Pennsylvania",1291,1348,1300
"Smithfield","township","Bradford County","Pennsylvania",1471,1498,1538
"South Creek","township","Bradford County","Pennsylvania",1104,1128,1261
"Springfield","township","Bradford County","Pennsylvania",1079,1124,1167
"Standing Stone","township","Bradford County","Pennsylvania",649,642,596
"Stevens","township","Bradford County","Pennsylvania",436,437,414
"Terry","township","Bradford County","Pennsylvania",961,992,942
"Towanda","township","Bradford County","Pennsylvania",1118,1149,1131
"Troy","township","Bradford County","Pennsylvania",1652,1645,1645
"Tuscarora","township","Bradford County","Pennsylvania",1118,1131,1072
"Ulster","township","Bradford County","Pennsylvania",1310,1337,1340
"Warren","township","Bradford County","Pennsylvania",932,959,1025
"Wells","township","Bradford County","Pennsylvania",814,814,1278
"West Burlington","township","Bradford County","Pennsylvania",674,696,782
"Wilmot","township","Bradford County","Pennsylvania",1177,1204,1177
"Windham","township","Bradford County","Pennsylvania",927,933,967
"Wyalusing","township","Bradford County","Pennsylvania",1236,1242,1341
"Wysox","township","Bradford County","Pennsylvania",1677,1721,1763
"Bedminster","township","Bucks County","Pennsylvania",7037,6574,4804
"Bensalem","township","Bucks County","Pennsylvania",60374,60427,58434
"Bridgeton","township","Bucks County","Pennsylvania",1283,1277,1408
"Bristol","township","Bucks County","Pennsylvania",54086,54582,55521
"Buckingham","township","Bucks County","Pennsylvania",20385,20075,16442
"Doylestown","township","Bucks County","Pennsylvania",17563,17565,17619
"Durham","township","Bucks County","Pennsylvania",1144,1144,1313
"East Rockhill","township","Bucks County","Pennsylvania",5742,5706,5199
"Falls","township","Bucks County","Pennsylvania",33901,34300,34865
