"Audubon","Audubon County","Iowa",2035,2176,2382,2524,2841,2907,2928,2808,2409,2255,2108,1923,1866,1310,792,0,0,0
"Aurelia","Cherokee County","Iowa",1016,1036,1062,1034,1143,1065,904,807,752,723,708,625,621,663,225,0,0,0
"Aurora","Buchanan County","Iowa",171,185,194,196,248,229,223,225,276,281,284,287,331,0,0,0,0,0
"Avoca","Pottawattamie County","Iowa",1506,1506,1610,1497,1650,1535,1540,1595,1598,1673,1482,1520,1627,0,1600,0,0,0
"Ayrshire","Palo Alto County","Iowa",139,143,202,195,243,243,298,334,391,343,361,337,329,0,0,0,0,0
"Badger","Webster County","Iowa",547,561,610,569,653,465,340,301,251,254,244,212,240,0,0,0,0,0
"Bagley","Guthrie County","Iowa",297,303,354,303,370,365,406,392,427,477,505,483,355,0,0,0,0,0
"Baldwin","Jackson County","Iowa",106,109,127,137,198,172,228,208,210,224,232,229,254,227,322,0,0,0
"Balltown","Dubuque County","Iowa",65,68,73,64,106,79,43,49,56,0,0,0,0,0,0,0,0,0
"Bancroft","Kossuth County","Iowa",716,732,808,857,1082,1103,1000,901,959,854,902,830,839,657,0,0,0,0
"Bankston","Dubuque County","Iowa",25,25,27,35,40,28,36,40,29,0,0,0,0,0,0,0,0,0
"Barnes City","Mahaska/Poweshiek County","Iowa",176,176,201,221,266,238,273,326,414,375,473,307,274,0,0,0,0,0
"Barnum","Webster County","Iowa",189,191,195,174,198,147,154,193,184,148,137,154,175,0,0,0,0,0
"Bassett","Chickasaw County","Iowa",65,66,74,74,128,152,130,125,147,149,135,130,149,0,0,0,0,0
"Batavia","Jefferson County","Iowa",510,499,500,520,525,525,533,524,474,478,560,560,533,307,328,310,0,0
"Battle Creek","Ida County","Iowa",700,713,743,818,919,837,786,873,827,804,785,527,542,387,205,0,0,0
"Baxter","Jasper County","Iowa",1101,1101,1052,938,951,788,681,618,623,569,571,527,427,0,0,0,0,0
"Bayard","Guthrie County","Iowa",460,471,536,511,637,628,597,634,703,477,505,488,494,348,0,0,0,0
"Beacon","Mahaska County","Iowa",487,494,518,509,530,338,718,371,382,350,381,623,953,570,727,0,0,0
"Beaconsfield","Ringgold County","Iowa",15,15,11,27,39,48,71,104,148,201,170,148,177,0,0,0,0,0
"Beaman","Grundy County","Iowa",191,191,210,183,219,222,247,191,167,183,214,220,266,262,201,0,0,0
"Beaver","Boone County","Iowa",48,48,53,46,85,113,115,114,126,111,132,0,0,0,0,0,0,0
"Bedford","Taylor County","Iowa",1404,1440,1620,1528,1692,1733,1807,2000,2151,2100,2073,1883,1977,1643,1763,720,0,0
"Belle Plaine","Benton County","Iowa",2489,2534,2878,2834,2903,2810,2923,3056,3202,3289,3887,3121,3283,2623,1689,1488,0,0
"Bellevue","Jackson County","Iowa",2167,2191,2350,2239,2450,2336,2181,1932,1771,1717,1663,1776,1607,1394,1581,1353,929,362
"Belmond","Wright County","Iowa",2322,2376,2560,2500,2505,2358,2506,2169,2109,1733,1797,1224,1234,803,0,0,0,0
"Bennett","Cedar County","Iowa",401,405,395,395,458,385,374,357,352,305,362,243,238,0,0,0,0,0
"Benton","Ringgold County","Iowa",42,41,40,39,33,46,84,128,189,173,246,191,192,0,0,0,0,0
"Berkley","Boone County","Iowa",32,32,24,39,49,56,58,71,105,82,68,0,0,0,0,0,0,0
"Bernard","Dubuque County","Iowa",109,112,97,123,130,148,173,149,111,123,105,95,113,0,0,0,0,0
"Bertram","Linn County","Iowa",300,294,681,201,216,177,170,128,90,102,96,0,0,0,143,0,0,0
"Bettendorf","Scott County","Iowa",35122,33217,31275,28132,27381,22126,11534,5132,3143,2768,2178,909,0,0,0,0,0,0
"Bevington","Madison/Warren County","Iowa",62,63,58,67,60,54,55,48,35,50,71,0,0,0,0,0,0,0
"Birmingham","Van Buren County","Iowa",439,448,423,386,410,452,441,643,498,507,539,572,622,545,515,626,0,231
"Blairsburg","Hamilton County","Iowa",210,215,235,269,288,287,287,257,276,274,272,241,0,0,44,0,0,0
"Blairstown","Benton County","Iowa",673,692,682,672,695,612,583,523,525,488,540,532,592,583,652,682,0,0
"Blakesburg","Wapello County","Iowa",287,296,374,333,404,403,401,401,442,397,380,344,0,0,198,236,265,0
"Blanchard","Page County","Iowa",37,38,61,67,101,139,174,214,259,347,429,408,520,432,321,0,0,0
"Blencoe","Monona County","Iowa",217,224,231,250,247,255,286,328,367,333,317,283,279,0,0,0,0,0
"Blockton","Taylor County","Iowa",189,192,192,213,280,273,343,407,488,537,524,648,704,0,0,0,0,0
"Bloomfield","Davis County","Iowa",2632,2640,2601,2580,2849,2718,2771,2688,2732,2226,2064,2028,2105,1913,1531,1553,0,287
"Blue Grass","Scott County","Iowa",1623,1452,1169,1214,1377,1032,568,337,287,246,205,223,0,0,70,0,0,0
