"Newark","New Castle County","Delaware",33008,31454,28547,25098,25247,21298,11404,6731,4502,3899,2183,1913,1213,1191,1148,915,787,0,0,0,0
"Newport","New Castle County","Delaware",1060,1055,1122,1240,1167,1366,1239,1171,987,947,676,722,657,711,535,0,0,0,0,0,0
"Ocean View","Sussex County","Delaware",1986,1882,1006,606,495,411,422,450,406,371,279,302,0,0,0,0,0,0,0,0,0
"Odessa","New Castle County","Delaware",374,364,286,303,384,547,526,467,391,385,435,585,575,640,675,695,686,501,0,0,0
"Rehoboth Beach","Sussex County","Delaware",1424,1327,1495,1234,1730,1495,1507,1794,1247,795,389,327,198,0,0,0,0,0,0,0,0
"Seaford","Sussex County","Delaware",7417,6928,6699,5689,5256,5537,4430,3087,2804,2468,2141,2108,1724,1462,1542,1304,624,0,0,0,0
"Selbyville","Sussex County","Delaware",2342,2167,1645,1335,1251,1099,1080,1086,882,661,462,342,0,0,149,0,0,0,0,0,0
"Slaughter Beach","Sussex County","Delaware",225,207,198,114,121,84,107,85,46,0,0,0,0,0,0,0,0,0,0,0,0
"Smyrna","Kent County","Delaware",11170,10023,5679,5231,4750,4243,3241,2346,1870,1958,1953,1843,2168,2455,2428,2110,1873,0,0,0,0
"South Bethany","Sussex County","Delaware",485,449,492,148,115,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Townsend","New Castle County","Delaware",2109,2049,346,322,386,505,434,441,544,421,453,4943,99,387,199,0,0,0,0,0,0
"Viola","Kent County","Delaware",167,157,156,153,167,154,159,134,113,104,114,0,0,0,0,0,0,0,0,0,0
"Wilmington","New Castle County","Delaware",71817,70851,72664,71529,70195,80386,95827,110356,112504,106597,110168,87411,76508,61431,42478,30841,21258,13979,8367,6628,5268
"Woodside","Kent County","Delaware",194,181,184,140,248,223,189,157,189,140,140,0,0,0,0,0,0,0,0,0,0
"Wyoming","Kent County","Delaware",1442,1313,1141,977,960,1062,1172,911,870,684,661,517,450,497,353,280,0,0,0,0,0
