"Bronson","Levy County","Florida",1105,1113,964,875,853,698,707,624,758,694,0,0,0,291,0,0,0,0,0,0
"Brooker","Bradford County","Florida",332,338,352,312,429,340,292,277,0,0,0,0,0,0,0,0,0,0,0,0
"Brooksville","Hernando County","Florida",7778,7719,7264,7440,5582,4060,3301,1818,1607,1405,1011,979,641,512,0,0,0,0,0,0
"Bunnell","Flagler County","Florida",2778,2676,2122,1873,1816,1687,1860,1341,1030,671,682,0,0,0,0,0,0,0,0,0
"Bushnell","Sumter County","Florida",3047,2418,2050,1998,983,700,644,536,676,591,400,0,0,0,0,0,0,0,0,0
"Callahan","Nassau County","Florida",1177,1123,962,946,869,772,782,722,685,637,511,0,0,0,0,0,0,0,0,0
"Callaway","Bay County","Florida",15006,14405,14233,12253,7154,3240,950,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campbellton","Jackson County","Florida",221,230,212,202,336,304,309,307,311,314,277,0,0,0,0,0,0,0,0,0
"Cape Canaveral","Brevard County","Florida",10049,9912,8829,8014,5733,4258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Coral","Lee County","Florida",169854,154305,102286,74991,32103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrabelle","Franklin County","Florida",2814,2778,1303,1200,1304,1044,1146,970,1019,920,1055,900,923,482,0,0,0,0,0,0
"Caryville","Washington County","Florida",277,411,218,631,633,724,730,525,279,1022,440,0,0,0,0,0,0,0,0,0
"Casselberry","Seminole County","Florida",26707,26241,22629,18911,15037,9438,2463,407,0,0,0,0,0,0,0,0,0,0,0,0
"Cedar Key","Levy County","Florida",698,702,790,668,700,714,668,900,988,1066,695,864,739,0,0,440,0,0,0,0
"Center Hill","Sumter County","Florida",1143,988,910,735,751,371,529,522,545,726,574,299,0,0,0,0,0,0,0,0
"Century","Escambia County","Florida",1752,1698,1714,1989,495,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chattahoochee","Gadsden County","Florida",3157,3652,3287,4382,5332,7944,9699,8473,7110,0,0,0,0,383,0,0,0,0,0,0
"Chiefland","Levy County","Florida",2206,2245,1993,1917,1986,1965,1459,843,572,421,0,0,0,0,0,0,0,0,0,0
"Chipley","Washington County","Florida",3520,3605,3592,3866,3330,3347,3159,2959,2167,1878,1806,1099,652,354,0,0,0,0,0,0
"Cinco Bayou","Okaloosa County","Florida",414,383,377,322,202,362,643,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clearwater","Pinellas County","Florida",110703,107685,108787,98784,85170,52074,34653,15581,10136,7607,2427,1171,343,0,0,0,0,0,0,0
"Clermont","Lake County","Florida",30600,28742,9333,6910,5461,3661,3313,2168,1631,1086,496,0,0,0,0,0,0,0,0,0
"Clewiston","Hendry County","Florida",7376,7155,6460,6085,5219,3896,3114,2499,1338,0,0,0,0,0,0,0,0,0,0,0
"Cloud Lake","Palm Beach County","Florida",143,135,167,121,160,136,148,132,0,0,0,0,0,0,0,0,0,0,0,0
"Cocoa","Brevard County","Florida",17419,17140,16412,17722,16096,16110,12294,4245,3098,2164,1445,613,382,312,0,0,0,0,0,0
"Cocoa Beach","Brevard County","Florida",11400,11231,12482,12123,10926,9952,3475,246,49,31,0,0,0,0,0,0,0,0,0,0
"Coconut Creek","Broward County","Florida",58536,52909,43566,27485,6288,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coleman","Sumter County","Florida",838,703,647,857,1022,614,921,849,764,786,640,387,0,0,0,0,0,0,0,0
"Cooper City","Broward County","Florida",34923,28547,27939,20791,10140,2535,550,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coral Gables","Miami-Dade County","Florida",51227,46780,42249,40091,43241,42494,34793,19837,8294,5697,0,0,0,0,0,0,0,0,0,0
"Coral Springs","Broward County","Florida",127952,121096,117549,79443,37349,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cottondale","Jackson County","Florida",902,933,869,900,1056,765,849,747,719,550,438,0,0,0,0,0,0,0,0,0
"Crescent City","Putnam County","Florida",1543,1577,1776,1859,1722,1734,1629,1393,1124,955,838,677,352,554,0,0,0,0,0,0
"Crestview","Okaloosa County","Florida",22955,20978,14766,9886,7617,7952,7467,5003,2252,930,500,0,0,0,0,0,0,0,0,0
"Cross City","Dixie County","Florida",1692,1728,1775,2041,2154,2268,1857,1522,1869,1071,0,0,0,0,0,0,0,0,0,0
"Crystal River","Citrus County","Florida",3054,3108,3485,4044,2778,1696,1423,1026,927,869,944,663,0,208,0,0,0,0,0,0
"Cutler Bay","Miami-Dade County","Florida",44321,40286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dade City","Pasco County","Florida",6750,6437,6188,5633,4923,4241,4759,3006,2561,1811,1296,1066,509,321,0,0,0,0,0,0
"Dania Beach","Broward County","Florida",31117,29639,20061,13024,11796,9013,7065,4540,2902,1674,762,369,0,0,0,0,0,0,0,0
"Davenport","Polk County","Florida",3228,2888,1924,1529,1509,1303,1209,760,640,650,117,0,0,0,0,0,0,0,0,0
"Davie","Broward County","Florida",98895,91992,75720,47217,20500,5859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daytona Beach","Volusia County","Florida",63011,61005,64112,61921,54176,45327,37395,30167,22584,16598,825,331,0,0,0,0,0,0,0,0
"Daytona Beach Shores","Volusia County","Florida",4319,4247,4299,2335,1324,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
