"Colorado Springs","El Paso County","Colorado",445830,416427,360890,281140,215105,135517,70194,45472,36789,33237,30105,29078,21085,11140,4226,0,0
"Columbine Valley","Arapahoe County","Colorado",1328,1256,1132,1071,923,481,0,0,0,0,0,0,0,0,0,0,0
"Commerce","Adams County","Colorado",51762,45913,20991,16466,16234,17407,8970,0,0,0,0,0,0,0,0,0,0
"Cortez","Montezuma County","Colorado",8602,8482,7977,7284,7095,6032,6764,2680,1778,921,541,565,125,332,0,0,0
"Craig","Moffat County","Colorado",8846,9464,9189,8091,8133,4205,3984,3080,2123,1418,1297,392,0,0,0,0,0
"Crawford","Delta County","Colorado",411,431,366,221,268,171,147,170,221,157,149,0,0,0,0,0,0
"Creede","Mineral County","Colorado",282,290,377,362,610,653,350,503,670,384,500,741,938,0,0,0,0
"Crested Butte","Gunnison County","Colorado",1541,1487,1529,878,959,372,289,730,1145,1251,1213,904,988,857,0,0,0
"Crestone","Saguache County","Colorado",137,127,73,39,54,34,51,72,172,86,74,231,0,0,0,0,0
"Cripple Creek","Teller County","Colorado",1172,1189,1115,584,655,425,614,853,2358,1427,2325,6206,10147,0,0,0,0
"Crook","Logan County","Colorado",109,110,128,148,177,199,209,259,236,251,232,0,0,0,0,0,0
"Crowley","Crowley County","Colorado",175,176,187,225,192,216,265,379,318,323,224,0,0,0,0,0,0
"Dacono","Weld County","Colorado",4544,4152,3015,2228,2321,360,302,258,296,275,172,180,0,0,0,0,0
"De Beque","Mesa County","Colorado",496,504,451,257,279,155,172,253,280,347,292,149,83,0,0,0,0
"Deer Trail","Arapahoe County","Colorado",576,546,598,476,463,374,764,421,387,390,0,0,0,0,0,0,0
"Del Norte","Rio Grande County","Colorado",1629,1686,1705,1674,1709,1569,1856,2048,1923,1410,1007,840,705,736,729,0,0
"Delta","Delta County","Colorado",8720,8915,6400,3789,3931,3694,3832,4097,3717,2938,2623,2388,819,470,0,0,0
"Denver","Denver County","Colorado",663862,600158,554636,467610,492686,514678,493887,415765,322412,287861,256491,213381,133859,106713,35629,4759,4749
"Dillon","Summit County","Colorado",937,904,802,553,337,182,814,191,161,92,126,134,143,133,0,0,0
"Dinosaur","Moffat County","Colorado",312,339,319,324,313,247,318,281,0,0,0,0,0,0,0,0,0
"Dolores","Montezuma County","Colorado",948,936,857,866,802,820,805,729,804,557,465,320,108,0,0,0,0
"Dove Creek","Dolores County","Colorado",703,735,698,643,826,619,986,702,418,0,0,0,0,0,0,0,0
"Durango","La Plata County","Colorado",17834,16887,13922,12430,11649,10333,10530,7459,5887,5400,4116,4686,3317,2726,0,0,0
"Eads","Kiowa County","Colorado",599,609,747,780,878,795,929,1015,700,518,406,0,0,0,0,0,0
"Eagle","Eagle County","Colorado",6572,6508,3032,1580,950,790,546,445,518,341,358,186,124,0,0,0,0
"Eaton","Weld County","Colorado",4815,4365,2690,1959,1932,1389,1267,1276,1322,1221,1289,1157,384,0,0,0,0
"Eckley","Yuma County","Colorado",255,257,278,211,262,193,207,295,358,359,332,0,0,0,0,0,0
"Edgewater","Jefferson County","Colorado",5289,5170,5445,4613,4766,4910,4314,2580,1648,1473,664,712,0,0,0,0,0
"Elizabeth","Elbert County","Colorado",1395,1358,1434,818,789,493,326,263,275,266,230,194,215,0,0,0,0
"Empire","Clear Creek County","Colorado",283,282,355,401,423,249,110,228,174,93,105,179,276,134,0,0,0
"Englewood","Arapahoe County","Colorado",32480,30255,31727,29387,30021,33695,33398,16869,9680,7980,4356,2983,0,0,0,0,0
"Erie","Weld County","Colorado",20493,18135,6291,1258,1254,1090,875,937,1019,930,697,596,697,662,358,0,0
"Estes Park","Larimer County","Colorado",6165,5858,5413,3184,2703,1616,1175,1617,994,417,0,0,0,0,0,0,0
"Evans","Weld County","Colorado",20473,18537,9514,5877,5063,2570,1453,862,792,540,505,600,400,306,0,189,0
"Fairplay","Park County","Colorado",679,679,610,387,421,419,404,476,739,221,183,265,319,301,0,0,0
"Federal Heights","Adams County","Colorado",12178,11467,12065,9342,7838,1502,391,173,0,0,0,0,0,0,0,0,0
"Firestone","Weld County","Colorado",11537,10147,1908,1358,1204,570,276,297,262,240,214,110,0,0,0,0,0
"Flagler","Kit Carson County","Colorado",561,561,612,564,550,615,693,793,506,540,544,0,0,0,0,0,0
"Fleming","Logan County","Colorado",399,408,426,344,388,349,384,377,400,365,518,0,0,0,0,0,0
"Florence","Fremont County","Colorado",3852,3881,3653,2990,2987,2846,2821,2773,2632,2475,2629,2712,3728,0,0,0,0
"Fort Collins","Larimer County","Colorado",156480,143986,118652,87758,65092,43337,25027,14937,12251,11489,8755,8210,3053,2011,1356,0,0
"Fort Lupton","Weld County","Colorado",7783,7377,6787,5159,4251,2489,2194,1907,1692,1578,1014,614,214,113,0,0,0
"Fort Morgan","Morgan County","Colorado",11329,11315,11034,9068,8768,7594,7379,5315,4884,4423,3818,2800,634,488,0,0,0
"Fountain","El Paso County","Colorado",27631,25846,15197,9984,8324,3515,1602,713,571,577,595,431,0,0,99,0,0
"Fowler","Otero County","Colorado",1155,1182,1206,1154,1227,1241,1240,1025,922,968,1062,925,0,0,0,0,0
"Foxfield","Arapahoe County","Colorado",741,685,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fraser","Grand County","Colorado",1165,1224,910,575,470,221,253,0,0,0,0,0,0,0,0,0,0
"Frederick","Weld County","Colorado",10927,8679,2467,988,855,696,595,599,652,596,361,266,0,0,0,0,0
"Frisco","Summit County","Colorado",2914,2683,2443,1601,1221,471,316,87,60,18,0,0,0,0,48,0,0
"Fruita","Mesa County","Colorado",12761,12646,6478,4045,2810,1822,1830,1463,1486,1053,1193,881,126,0,0,0,0
"Garden","Weld County","Colorado",264,234,357,199,85,142,129,104,87,0,0,0,0,0,0,0,0
"Genoa","Lincoln County","Colorado",140,139,211,167,165,161,185,257,214,218,0,0,0,0,0,0,0
"Georgetown","Clear Creek County","Colorado",1038,1034,1088,891,830,542,307,329,391,303,703,950,1418,1927,3294,802,0
"Gilcrest","Weld County","Colorado",1080,1034,1162,1084,1025,382,357,429,352,324,222,0,0,0,0,0,0
"Glendale","Arapahoe County","Colorado",5115,4184,4547,2453,2496,765,468,0,0,0,0,0,0,0,0,0,0
"Glenwood Springs","Garfield County","Colorado",9840,9614,7736,6561,4637,4106,3637,2412,2253,1825,2073,2019,1350,920,0,0,0
"Golden","Jefferson County","Colorado",20201,18867,17159,13116,12237,9817,7118,5238,3175,2426,2135,2477,2152,2383,2730,587,1014
"Granada","Prowers County","Colorado",490,517,640,513,557,551,593,551,342,352,308,359,204,163,121,0,0
"Granby","Grand County","Colorado",1808,1864,1525,966,963,554,503,463,251,90,32,40,0,0,0,0,0
"Grand Junction","Mesa County","Colorado",60210,58566,41986,29034,27956,20170,18694,14504,12479,10247,8665,7754,3503,2030,0,0,0
"Grand Lake","Grand County","Colorado",466,471,447,259,382,189,170,309,0,0,0,0,0,0,0,0,0
"Greeley","Weld County","Colorado",98596,92889,76930,60536,53006,38902,26314,20354,15995,12203,10958,8179,3023,2395,1297,480,0
"Green Mountain Falls","El Paso County","Colorado",676,640,773,663,607,359,179,106,87,41,100,30,40,0,0,0,0
"Greenwood Village","Arapahoe County","Colorado",15385,13925,11035,7589,5729,3095,572,0,0,0,0,0,0,0,0,0,0
"Grover","Weld County","Colorado",145,137,153,135,158,121,133,146,137,165,195,0,0,0,0,0,0
"Gunnison","Gunnison County","Colorado",5973,5854,5409,4636,5785,4613,3477,2770,2177,1415,1329,1026,1200,1105,888,0,0
"Gypsum","Eagle County","Colorado",6797,6477,3654,1750,743,420,358,345,245,165,164,0,0,0,0,0,0
"Hartman","Prowers County","Colorado",73,81,111,108,122,129,164,181,148,269,175,0,0,0,0,0,0
