"Stamford town","Bennington County","Vermont",818,824,813,773,773,752,600,514,418,370,374,510,677,645,726,633,759,833,662,563,490,378,383
"Sunderland town","Bennington County","Vermont",951,956,850,872,768,601,566,493,442,375,409,494,518,633,655,553,667,479,438,463,496,575,557
"Winhall town","Bennington County","Vermont",759,769,702,482,327,281,245,255,212,229,336,366,449,523,722,642,741,762,576,571,428,429,202
"Woodford town","Bennington County","Vermont",413,424,414,331,314,286,207,198,170,137,231,187,279,353,487,371,379,423,487,395,212,254,138
"Barnet town","Caledonia County","Vermont",1683,1708,1690,1415,1338,1342,1445,1425,1596,2604,1685,1707,1763,1897,1907,1945,1994,2521,2030,1764,1488,1301,858
"Burke town","Caledonia County","Vermont",1735,1753,1571,1406,1385,1053,922,1042,988,1016,1041,1183,1184,1198,1252,1162,1138,1103,997,866,541,460,108
"Danville town","Caledonia County","Vermont",2208,2196,2211,1917,1705,1405,1368,1312,1472,1600,1494,1564,1628,1784,2003,2216,2544,2577,2633,2631,2300,2240,1514
"Groton town","Caledonia County","Vermont",1013,1022,876,862,667,666,631,712,764,803,902,915,1059,1040,1014,811,939,893,928,836,595,449,248
"Hardwick town","Caledonia County","Vermont",2956,3010,3174,2964,2613,2466,2349,2629,2605,2720,2641,3201,2466,1547,1484,1519,1369,1402,1354,1216,867,735,260
"Kirby town","Caledonia County","Vermont",499,493,456,347,282,224,235,257,256,311,324,297,350,355,398,417,473,509,520,401,312,311,20
"Lyndon town","Caledonia County","Vermont",5941,5981,5448,5371,4924,3705,3425,3360,3144,3285,3558,3204,2956,2619,2434,2179,1695,1752,1753,1822,1296,1090,542
"Newark town","Caledonia County","Vermont",581,581,470,354,280,144,151,192,242,301,364,415,500,536,679,593,567,434,360,257,154,88,8
"Peacham town","Caledonia County","Vermont",735,732,665,627,531,446,433,501,543,620,657,777,794,892,1041,1141,1247,1377,1443,1351,1294,1301,873
"Ryegate town","Caledonia County","Vermont",1148,1174,1150,1058,1000,830,894,996,1105,1216,1188,1194,995,1126,1046,935,1098,1606,1223,1119,994,812,415
"Sheffield town","Caledonia County","Vermont",699,7603,7571,7608,7938,8409,8869,9292,9095,9696,8708,8098,7010,6567,5800,4665,3469,2758,1887,1592,1404,1334,651
"St. Johnsbury town","Caledonia County","Vermont",7523,703,727,541,435,307,342,451,465,543,594,691,724,760,884,811,836,797,821,720,581,388,179
"Stannard town","Caledonia County","Vermont",222,216,185,148,142,88,113,116,140,154,173,206,222,239,252,228,0,0,0,0,0,0,0
"Sutton town","Caledonia County","Vermont",1019,1029,1001,854,667,438,476,528,561,596,659,711,694,746,838,920,987,1001,1068,1005,697,433,0
"Walden town","Caledonia County","Vermont",933,935,782,703,575,442,427,481,547,664,674,739,764,810,931,992,1001,910,913,827,580,455,153
"Waterford town","Caledonia County","Vermont",1280,1280,1104,1190,882,586,460,468,498,712,574,629,705,734,815,872,1171,1412,1388,1358,1247,1289,565
"Wheelock town","Caledonia County","Vermont",806,811,621,481,444,238,246,287,293,412,526,500,567,596,829,822,832,855,881,834,906,963,568
"Bolton town","Chittenden County","Vermont",1191,1182,971,971,715,427,237,301,287,325,390,469,486,547,674,711,632,602,470,452,306,249,219
"Buels gore","Chittenden County","Vermont",30,30,12,2,9,10,0,3,2,4,14,16,20,21,24,29,35,18,0,0,0,0,0
"Burlington city","Chittenden County","Vermont",42211,42417,38889,39127,37712,38633,35531,33155,27686,24789,22779,20468,18640,14590,11365,14387,7713,7585,4271,3526,2111,1690,816
"Charlotte town","Chittenden County","Vermont",3856,3754,3569,3148,2561,1802,1271,1215,1082,1089,1160,1163,1254,1240,1342,1430,1589,1634,1620,1702,1625,1679,1231
"Colchester town","Chittenden County","Vermont",17384,17067,16986,14731,12629,8776,4718,3897,3031,2638,6627,6450,5352,5143,4421,3911,3041,2575,1739,1489,1192,659,347
"Essex town","Chittenden County","Vermont",20724,19587,18626,16498,14392,10951,7090,3931,3059,2876,2449,2714,2203,2013,2104,2022,1905,2052,1824,1664,1089,957,729
"Hinesburg town","Chittenden County","Vermont",4497,4396,4340,3780,2690,1775,1180,1120,1000,1019,964,1042,1216,1205,1330,1573,1702,1834,1682,1669,1332,1238,933
"Huntington town","Chittenden County","Vermont",1986,1938,1861,1609,1161,748,518,601,549,621,651,760,728,723,808,864,861,835,914,929,732,514,405
"Jericho town","Chittenden County","Vermont",5074,5009,5015,4302,3575,2343,1425,1135,1077,1091,1138,1307,1373,1461,1687,1757,1669,1837,1685,1654,1219,1185,728
"Milton town","Chittenden County","Vermont",10667,10352,9479,8404,6829,4495,2022,1874,1750,1663,1523,1648,1804,1885,2006,2062,1983,2451,2134,2100,1746,1546,786
"Richmond town","Chittenden County","Vermont",4129,4081,4090,3729,3159,2249,1303,1278,1225,1315,1447,1419,1057,1115,1264,1309,1400,1453,1064,1109,1014,935,718
"Shelburne town","Chittenden County","Vermont",7736,17904,15814,12809,10679,10032,6903,3279,1736,1023,938,927,971,845,664,791,0,0,0,0,0,0,0
"South Burlington city","Chittenden County","Vermont",18743,674,698,705,677,477,108,117,87,84,100,109,90,106,93,111,121,127,121,135,120,68,65
"St. George town","Chittenden County","Vermont",708,7144,6944,5871,5000,3728,1805,1365,1010,1006,997,1097,1292,1300,1095,1190,1178,1257,1098,1123,1168,987,723
"Underhill town","Chittenden County","Vermont",3067,3016,2980,2799,2172,1198,730,698,760,781,896,1004,1140,1301,1439,1655,1637,1599,1441,1052,757,490,212
"Westford town","Chittenden County","Vermont",2085,2029,2086,1740,1413,991,680,685,698,698,706,854,888,1033,1133,1237,1231,1458,1352,1290,1218,1107,648
"Williston town","Chittenden County","Vermont",9215,8698,7650,4887,3843,3187,1484,1182,1021,961,929,1000,1176,1161,1342,1441,1472,1664,1554,1608,1538,1195,836
"Winooski city","Chittenden County","Vermont",7228,7267,6561,6649,6318,7309,7420,6734,6036,5308,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averill town","Essex County","Vermont",23,24,8,7,15,8,16,20,12,9,4,15,18,43,48,14,12,7,11,1,0,0,0
"Avery's gore","Essex County","Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomfield town","Essex County","Vermont",215,221,261,253,188,196,212,291,326,417,382,496,564,827,627,455,320,244,179,150,132,9,27
"Brighton town","Essex County","Vermont",1182,1222,1260,1562,1557,1365,1545,1671,1754,2002,2280,2013,2023,2020,1691,1536,945,193,157,105,0,144,0
"Brunswick town","Essex County","Vermont",115,112,107,92,82,45,62,73,86,73,89,82,106,160,193,221,212,119,130,160,124,143,86
"Canaan town","Essex County","Vermont",934,972,1078,1121,1196,949,1094,969,872,906,982,869,934,829,637,417,408,471,378,373,227,143,44
"Concord town","Essex County","Vermont",1203,1235,1196,1093,1125,896,956,979,923,1043,1102,1080,1129,1425,1612,1276,1291,1153,1024,1031,806,232,322
"East Haven town","Essex County","Vermont",285,290,301,269,280,197,164,85,92,99,148,194,171,236,225,191,136,94,79,33,0,0,0
"Ferdinand town","Essex County","Vermont",31,32,33,23,12,14,16,10,17,18,106,213,41,73,40,33,34,0,0,0,0,0,0
"Granby town","Essex County","Vermont",85,88,86,85,70,52,56,74,76,69,70,95,182,361,194,174,132,127,105,97,49,30,69
"Guildhall town","Essex County","Vermont",255,261,268,270,202,169,248,270,313,351,376,445,455,511,558,483,552,501,470,481,529,120,296
"Lemington town","Essex County","Vermont",101,104,107,102,108,120,112,105,131,133,145,138,204,227,222,191,207,187,124,183,139,0,52
"Lewis town","Essex County","Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lunenburg town","Essex County","Vermont",1270,1302,1328,1176,1138,1061,1237,1299,1374,1400,1048,880,968,1019,1038,999,1034,1123,1130,1054,856,132,393
"Maidstone town","Essex County","Vermont",202,208,105,131,100,94,78,81,96,123,171,175,206,198,286,254,259,237,271,236,165,714,152
"Norton town","Essex County","Vermont",160,169,214,169,184,207,241,279,314,339,336,479,692,960,239,303,32,0,0,0,0,0,0
"Victory town","Essex County","Vermont",60,62,97,50,56,42,46,49,104,80,125,206,321,554,321,263,212,168,140,53,0,6,0
"Warner's grant","Essex County","Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warren's gore","Essex County","Vermont",4,4,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakersfield town","Franklin County","Vermont",1351,1322,1215,977,852,635,664,779,827,889,980,1079,1158,1162,1248,1043,1451,1523,1258,1087,945,812,222
"Berkshire town","Franklin County","Vermont",1716,1692,1388,1190,1116,931,965,1063,1156,1234,1299,1286,1326,1421,1596,1609,1890,1955,1818,1308,831,918,172
"Enosburgh town","Franklin County","Vermont",2754,2781,2788,2535,2070,1918,1966,2101,2082,2093,2231,2212,2054,2289,2213,2077,2066,2009,2022,1560,932,704,143
"Fairfax town","Franklin County","Vermont",4524,4285,3765,2486,1805,1366,1244,1129,1229,1249,1244,1318,1338,1523,1820,1956,1987,2111,1918,1729,1359,1301,786
"Fairfield town","Franklin County","Vermont",1911,1891,1800,1680,1493,1285,1225,1428,1444,1541,1632,1778,1830,1825,2172,2391,2497,2591,2448,2270,1573,1618,901
"Fletcher town","Franklin County","Vermont",1314,1277,1179,941,626,456,399,485,549,667,656,737,750,793,868,865,916,1084,1014,793,497,382,200
"Franklin town","Franklin County","Vermont",1424,1405,1268,1068,1006,821,796,878,1021,1001,994,1108,1145,1300,1439,1612,1781,1646,1410,1129,831,714,280
"Georgia town","Franklin County","Vermont",4684,4515,4375,3753,2818,1711,1079,1055,1008,1090,1075,1090,1280,1282,1504,1603,1547,2686,2106,1897,1703,1760,1068
"Highgate town","Franklin County","Vermont",3608,3535,3397,3020,2493,1936,1608,1681,1647,1574,1528,1758,1980,1853,2088,2260,2526,2653,2292,2038,1250,1374,437
"Montgomery town","Franklin County","Vermont",1195,1201,992,823,681,651,876,1091,1208,1386,1658,1721,1876,1734,1642,1423,1262,1001,564,460,293,237,36
"Richford town","Franklin County","Vermont",2316,2308,2321,2178,2206,2116,2316,2643,2646,2544,2842,2907,2421,2196,1818,1481,1338,1074,914,704,440,442,113
"Sheldon town","Franklin County","Vermont",6860,2190,1990,1748,1618,1481,1281,1352,1471,1563,1473,1246,1341,1365,1529,1697,1655,1814,1734,2158,927,883,408
"St. Albans (city)","Franklin County","Vermont",6313,6918,7650,7339,7308,8082,8806,8552,8037,8020,7588,6381,6237,0,0,0,0,0,0,0,0,0,0
"St. Albans (town)","Franklin County","Vermont",2230,5999,5086,4606,3555,3270,2303,1908,1733,1691,1583,1617,1715,7771,7193,7014,3637,3567,2702,2395,1636,1609,901
"Swanton town","Franklin County","Vermont",6442,6427,6203,5636,5141,4622,3946,3740,3543,3433,3342,3628,3745,3231,3079,2866,2678,2824,2312,2158,607,1657,858
"Alburgh town","Grand Isle County","Vermont",2008,1998,1952,1362,1352,1271,1123,1402,1623,1609,1491,1311,1474,1390,1614,1716,1793,1568,1344,1239,1172,1106,750
"Grand Isle town","Grand Isle County","Vermont",2081,2067,1955,1642,1238,809,624,735,791,857,808,839,851,793,749,682,708,666,724,642,698,338,0
"Isle La Motte town","Grand Isle County","Vermont",473,471,488,408,393,262,238,295,335,352,385,510,608,551,505,497,564,476,435,459,312,623,135
"North Hero town","Grand Isle County","Vermont",805,803,810,502,442,364,328,407,442,485,494,496,712,550,637,601,594,730,716,638,503,552,324
"South Hero town","Grand Isle County","Vermont",1627,1631,1696,1404,1188,868,614,567,611,641,605,605,817,559,620,586,617,705,664,717,842,826,678
"Belvidere town","Lamoille County","Vermont",355,348,294,228,218,189,155,207,220,258,363,429,428,571,400,369,366,256,207,185,198,217,0
"Cambridge town","Lamoille County","Vermont",3748,3659,3186,2667,2019,1528,1295,1435,1383,1402,1593,1696,1606,1689,1750,1651,1748,1849,1790,1613,1435,990,733
"Eden town","Lamoille County","Vermont",1348,1323,1152,840,612,513,430,496,498,568,619,751,738,851,934,958,919,668,703,461,201,224,29
"Elmore town","Lamoille County","Vermont",872,855,849,573,421,292,237,312,300,382,468,563,550,593,682,637,602,504,476,442,164,157,45
"Hyde Park town","Lamoille County","Vermont",3040,2954,2847,2344,2021,1347,1219,1291,1178,1165,1323,1453,1472,1633,1716,1624,1409,1107,1080,823,373,261,110
"Johnson town","Lamoille County","Vermont",3511,3446,3274,3156,2581,1927,1478,1527,1420,1378,1478,1526,1391,1462,1495,1558,1526,1381,1410,1079,778,494,265
"Morristown town","Lamoille County","Vermont",5389,5227,5139,4733,4448,4052,3347,3225,3130,2939,2813,2652,2583,2411,2099,1897,1751,1441,1502,1315,726,550,144
"Stowe town","Lamoille County","Vermont",4411,4314,4339,3433,2991,2388,1901,1720,1741,1654,1800,1991,1926,1886,1896,2049,2046,1771,1371,1570,957,650,316
"Waterville town","Lamoille County","Vermont",687,673,697,532,470,397,332,409,386,307,469,485,529,577,547,574,747,753,610,488,0,0,0
"Wolcott town","Lamoille County","Vermont",1721,1676,1456,1229,986,676,633,766,772,831,932,1049,1066,1158,1166,1132,1161,909,910,492,123,124,47
"Bradford town","Orange County","Vermont",2765,2797,2619,2522,2191,1627,1619,1551,1507,1234,1422,1372,1338,1429,1520,1492,1689,1723,1655,1507,1411,1302,1062
"Braintree town","Orange County","Vermont",1231,1246,1194,1174,1065,751,536,626,648,635,707,760,776,854,1051,1066,1225,1228,1232,1209,1037,850,531
"Brookfield town","Orange County","Vermont",1289,1292,1222,1089,959,606,597,762,808,761,860,1008,996,996,1239,1269,1672,1672,1789,1677,1411,1384,988
"Chelsea town","Orange County","Vermont",1245,1238,1250,1166,1091,983,957,1025,1013,1004,1087,1074,1070,1230,1462,1526,1757,1958,1959,1958,1462,1327,896
"Corinth town","Orange County","Vermont",1366,1367,1461,1244,904,683,775,786,822,817,936,1005,978,1027,1627,1470,1627,1806,1970,1953,1907,1876,1410
"Fairlee town","Orange County","Vermont",987,977,967,883,770,604,569,571,535,456,459,438,438,398,469,416,549,575,644,656,1143,983,386
"Newbury town","Orange County","Vermont",2202,2216,1955,1985,1699,1440,1452,1667,1723,1744,1908,2036,2125,2080,2316,2241,2549,2984,2578,2252,1623,1363,1304
"Orange town","Orange County","Vermont",1073,1072,965,915,752,540,430,410,482,508,485,644,598,589,731,733,936,1007,984,1016,751,686,348
"Randolph town","Orange County","Vermont",4755,4778,4853,4764,4689,3882,3414,3499,3278,3166,3010,3191,3141,3232,2910,2829,2502,2666,2678,2743,2487,2255,1841
"Strafford town","Orange County","Vermont",1107,1098,1045,902,731,536,548,680,598,615,601,776,1000,932,1181,1290,1506,1640,1762,1935,1921,1805,1642
"Thetford town","Orange County","Vermont",2591,2588,2617,2438,2188,1422,1049,1046,1043,1052,1089,1182,1249,1287,1529,1613,1876,2016,2065,2113,1915,1735,1478
"Topsham town","Orange County","Vermont",1171,1173,1142,944,767,686,638,733,707,720,825,918,1117,1187,1365,1418,1662,1668,1745,1384,1020,814,344
"Tunbridge town","Orange County","Vermont",1286,1284,1309,1154,925,791,743,774,882,903,907,918,885,1011,1262,1405,1546,1786,1811,1920,2003,1640,1324
"Vershire town","Orange County","Vermont",722,730,629,560,442,299,236,284,367,368,410,446,641,954,1875,1140,1053,1071,1188,1260,1290,1311,1031
"Washington town","Orange County","Vermont",1029,1039,1047,937,855,667,565,650,730,697,660,762,820,820,922,1113,1249,1348,1369,1374,1160,1040,507
"West Fairlee town","Orange County","Vermont",657,652,726,633,427,337,333,363,428,405,387,446,531,561,1038,833,830,696,824,841,1143,983,391
"Williamstown town","Orange County","Vermont",3383,3389,3225,2839,2284,1822,1553,1600,1477,1609,1526,1726,1610,1188,1038,1236,1377,1452,1620,1487,1481,1353,839
"Albany town","Orleans County","Vermont",920,941,840,782,705,528,560,704,748,810,840,920,1028,995,1138,1151,1224,1052,920,683,253,101,0
"Barton town","Orleans County","Vermont",2702,2810,2780,2967,2990,2874,3066,3298,3371,3469,3506,3346,2790,2217,2364,1911,1590,987,892,729,372,447,128
