"Boswell","Choctaw County","Oklahoma",707,709,703,643,702,755,753,875,962,934,1212,828,0,0
"Bowlegs","Seminole County","Oklahoma",403,405,371,398,522,0,0,0,0,0,0,0,0,0
"Boynton","Muskogee County","Oklahoma",244,248,274,391,518,522,604,718,842,1204,1204,679,0,0
"Bradley","Grady County","Oklahoma",130,130,182,166,284,247,294,248,281,0,0,0,0,0
"Braggs","Muskogee County","Oklahoma",255,259,301,308,351,325,279,374,392,400,430,259,0,0
"Braman","Kay County","Oklahoma",213,217,244,251,355,295,336,392,427,507,396,339,249,0
"Bray","Stephens County","Oklahoma",1191,1209,1035,925,591,0,0,0,0,0,0,0,0,0
"Breckenridge","Garfield County","Oklahoma",256,245,239,251,261,70,42,67,80,76,132,0,0,0
"Bridge Creek","Grady County","Oklahoma",332,336,0,0,0,0,0,0,0,0,0,0,0,0
"Bridgeport","Caddo County","Oklahoma",114,116,109,137,115,142,139,199,302,432,294,428,0,0
"Bristow","Creek County","Oklahoma",4221,4222,4325,4062,4702,4653,4795,5400,6050,6619,3460,1667,626,0
"Broken Arrow","Tulsa County","Oklahoma",104726,98850,74859,58043,35761,11018,5928,3262,2074,1964,2086,1576,1383,0
"Broken Bow","McCurtain County","Oklahoma",4132,4120,4230,3961,3965,2980,2087,1838,2367,2291,1983,0,0,0
"Bromide","Coal/Johnston County","Oklahoma",168,165,163,162,180,231,264,258,312,352,523,0,0,0
"Brooksville","Pottawatomie County","Oklahoma",60,63,90,69,46,0,0,0,0,0,0,166,0,0
"Buffalo","Harper County","Oklahoma",1332,1299,1200,1312,1381,1579,1618,1544,1209,990,479,282,0,0
"Burbank","Osage County","Oklahoma",140,141,155,165,161,188,238,268,329,372,0,0,0,0
"Burlington","Alfalfa County","Oklahoma",158,152,156,169,206,165,174,181,177,166,169,135,0,0
"Burns Flat","Washita County","Oklahoma",2031,2057,1782,1027,2431,988,2280,0,0,0,0,0,0,0
"Butler","Custer County","Oklahoma",303,287,345,341,388,315,351,351,428,473,332,0,0,0
"Byars","McClain County","Oklahoma",261,255,280,263,353,247,256,284,466,502,629,487,0,0
"Byng","Pontotoc County","Oklahoma",1191,1175,1090,755,833,0,0,0,0,0,0,0,0,0
"Byron","Alfalfa County","Oklahoma",36,35,45,57,67,72,82,131,177,197,249,286,0,0
"Cache","Comanche County","Oklahoma",2942,2796,2371,2251,1661,1106,1003,677,620,425,382,317,0,0
"Caddo","Bryan County","Oklahoma",1043,997,944,918,923,886,814,895,954,933,1421,1143,930,0
"Calera","Bryan County","Oklahoma",2235,2164,1739,1536,1390,1063,692,643,597,503,703,575,575,0
"Calumet","Canadian County","Oklahoma",553,507,535,560,469,386,354,339,0,0,0,0,0,0
"Calvin","Hughes County","Oklahoma",287,294,279,251,315,359,331,557,589,626,700,570,0,0
"Camargo","Dewey County","Oklahoma",182,178,115,185,264,236,254,312,289,291,0,0,0,0
"Cameron","Le Flore County","Oklahoma",295,302,312,327,365,311,211,209,203,283,203,206,316,0
"Canadian","Pittsburg County","Oklahoma",211,220,239,261,279,304,255,277,385,295,373,481,522,0
"Caney","Atoka County","Oklahoma",198,205,199,184,203,200,128,252,361,274,432,295,0,0
"Canton","Blaine County","Oklahoma",622,625,618,632,854,844,887,959,775,797,582,703,0,0
"Canute","Washita County","Oklahoma",539,541,524,538,676,420,370,355,374,366,0,0,0,0
"Carmen","Alfalfa County","Oklahoma",362,355,411,459,516,519,533,654,818,904,792,883,0,0
"Carnegie","Caddo County","Oklahoma",1699,1723,1637,1593,2016,1723,1500,1719,1740,2063,1150,835,0,0
"Carney","Lincoln County","Oklahoma",653,647,649,558,622,396,227,277,283,328,367,260,0,0
"Carrier","Garfield County","Oklahoma",89,85,77,171,259,0,0,0,0,0,0,0,0,0
"Carter","Beckham County","Oklahoma",266,256,254,286,367,311,364,406,535,642,389,265,0,0
"Cashion","Kingfisher County","Oklahoma",836,802,635,430,547,329,221,182,232,291,296,289,0,0
"Castle","Okfuskee County","Oklahoma",106,106,122,94,130,212,149,144,242,283,381,294,0,0
"Catoosa","Rogers County","Oklahoma",7114,7151,5449,2954,1561,970,638,438,405,264,363,404,241,0
"Cedar Valley","Logan County","Oklahoma",312,288,58,61,0,0,0,0,0,0,0,0,0,0
"Cement","Caddo County","Oklahoma",494,501,530,642,884,892,959,1076,1039,1117,1098,770,0,0
"Centrahoma","Coal County","Oklahoma",95,97,110,106,166,155,148,0,0,0,0,0,0,0
"Central High","Stephens County","Oklahoma",1180,1199,954,0,0,0,0,0,0,0,0,0,0,0
"Chandler","Lincoln County","Oklahoma",3139,3100,2842,2596,2926,2529,2524,2724,2738,2717,2226,2024,1430,0
"Chattanooga","Comanche County","Oklahoma",457,461,432,437,403,302,356,333,365,362,507,471,0,0
"Checotah","McIntosh County","Oklahoma",3285,3335,3481,3290,3454,3074,2614,2638,2126,2110,2390,1683,805,0
"Chelsea","Rogers County","Oklahoma",1956,1964,2136,1620,1754,1622,1541,1437,1642,1527,1692,1350,566,0
"Cherokee","Alfalfa County","Oklahoma",1538,1498,1630,1787,2105,2119,2410,2635,2553,2236,2017,2016,0,0
