"Brownstown","Jackson County","Indiana",2956,2947,2978,2872,2704,2376,2158,1998,1860,1758,1554,1492,1685,1422,849,572,504,0,0,0
"Bruceville","Knox County","Indiana",477,478,469,471,646,627,623,0,0,0,0,0,0,0,258,0,0,0,0,0
"Bryant","Jay County","Indiana",256,252,272,273,277,320,316,339,332,319,428,469,384,0,189,0,0,0,0,0
"Bunker Hill","Miami County","Indiana",860,888,987,1010,984,956,1049,659,561,528,550,668,568,538,596,0,0,0,0,0
"Burket","Kosciusko County","Indiana",195,195,195,200,260,210,259,217,216,0,0,0,0,0,0,0,0,0,0,0
"Burnettsville","White County","Indiana",343,346,373,401,496,510,452,457,436,402,517,489,497,479,296,270,222,0,0,0
"Burns Harbor","Porter County","Indiana",1571,1156,766,788,920,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butler","De Kalb County","Indiana",2690,2684,2725,2601,2509,2394,2176,1914,1794,1643,1745,1818,2063,2521,1056,0,0,0,0,0
"Cadiz","Henry County","Indiana",145,150,161,202,180,207,198,222,182,165,148,209,253,307,594,0,0,0,0,0
"Campbellsburg","Washington County","Indiana",578,585,578,606,695,678,612,637,608,558,659,666,672,418,386,0,0,0,0,0
"Cannelburg","Daviess County","Indiana",154,135,140,97,152,149,124,128,145,132,224,300,280,276,159,0,0,0,0,0
"Cannelton","Perry County","Indiana",1532,1563,1209,1786,2373,2280,1829,2027,2240,2265,2008,2130,2188,1991,1834,2481,2155,0,0,0
"Carbon","Clay County","Indiana",390,397,334,350,307,344,409,480,510,476,572,493,951,521,600,0,0,0,0,0
"Carlisle","Sullivan County","Indiana",676,692,2660,613,717,714,755,767,874,852,973,850,699,503,489,499,459,0,0,0
"Carmel","Hamilton County","Indiana",86682,79191,37733,25380,18272,6691,1442,1009,771,682,598,626,498,471,92,0,0,0,0,0
"Carthage","Rush County","Indiana",901,927,928,887,886,946,1043,1065,937,931,902,873,1028,482,500,481,0,0,0,0
"Cayuga","Vermillion County","Indiana",1117,1162,1109,1083,1258,1090,904,1022,1126,968,933,911,832,0,0,0,0,0,0,0
"Cedar Grove","Franklin County","Indiana",155,156,185,246,217,248,232,193,204,221,200,185,0,0,219,0,0,0,0,0
"Cedar Lake","Lake County","Indiana",11854,11560,9279,8885,8754,7589,5766,3907,0,0,0,0,0,0,0,0,0,0,0,0
"Center Point","Clay County","Indiana",239,242,292,278,242,275,268,297,332,372,371,414,600,517,295,226,0,0,0,0
"Chalmers","White County","Indiana",506,508,513,525,554,544,548,508,475,510,528,513,462,0,0,0,0,0,0,0
"Chandler","Warrick County","Indiana",3377,2887,3094,3099,3043,2032,1784,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chesterfield","Madison County","Indiana",2504,2547,2969,2730,2701,3001,2588,1086,581,460,319,285,0,0,150,203,0,0,0,0
"Chesterton","Porter County","Indiana",13403,13068,10488,9124,8531,6177,4335,3175,2470,2231,1604,1400,788,931,488,0,0,0,0,0
"Chrisney","Spencer County","Indiana",484,481,544,511,537,550,380,439,437,414,495,524,513,0,0,0,0,0,0,0
"Churubusco","Whitley County","Indiana",1790,1796,1666,1781,1638,1528,1284,1232,1122,1095,916,870,884,869,720,0,0,0,0,0
"Cicero","Hamilton County","Indiana",4891,4812,4303,3268,2557,1378,1284,1021,943,933,906,990,1603,631,715,422,278,0,0,0
