"Bellevue","? County","Wisconsin",15215,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belmont","Lafayette County","Wisconsin",985,986,871,823,826,688,616,474,476,452,498,532,509,378,410,0,0,0,0
"Beloit","Rock County","Wisconsin",36881,36966,35775,35573,35207,35729,32846,29590,25365,23611,21284,15125,10436,6315,4790,4396,4098,0,0
"Benton","Lafayette County","Wisconsin",967,973,976,898,983,873,837,842,835,869,874,652,546,414,254,0,0,0,0
"Berlin","Green Lake County","Wisconsin",5431,5524,5305,5371,5478,5338,4838,4693,4247,4106,4400,4636,4489,4149,3353,2777,1449,0,0
"Big Bend","Waukesha County","Wisconsin",1310,1290,1278,1299,1345,1148,797,480,298,309,0,0,0,0,0,0,0,0,0
"Big Falls","Waupaca County","Wisconsin",61,61,85,75,107,112,119,146,187,178,0,0,0,0,0,0,0,0,0
"Birchwood","Washburn County","Wisconsin",431,442,518,443,437,394,433,502,531,565,0,0,0,0,0,0,0,0,0
"Birnamwood","Shawano County","Wisconsin",806,818,795,693,688,632,568,561,556,557,651,678,475,0,0,0,0,0,0
"Biron","Wood County","Wisconsin",811,839,915,794,698,771,726,528,475,380,286,0,0,0,0,0,0,0,0
"Black Creek","Outagamie County","Wisconsin",1320,1316,1192,1152,1097,921,707,650,542,526,516,516,0,0,0,0,0,0,0
"Black Earth","Dane County","Wisconsin",1391,1338,1320,1248,1145,1114,784,655,531,490,464,479,0,355,0,0,0,0,0
"Black River Falls","Jackson County","Wisconsin",3582,3622,3618,3490,3434,3273,3195,2824,2539,1950,1796,1917,1938,2261,1427,1101,570,0,0
"Blair","Trempealeau County","Wisconsin",1366,1366,1273,1126,1142,1036,909,873,856,702,657,486,438,0,184,0,0,0,0
"Blanchardville","Lafayette County","Wisconsin",821,825,806,802,803,794,632,707,662,651,653,643,573,0,169,0,0,0,0
"Bloomer","Chippewa County","Wisconsin",3535,3539,3347,3085,3342,3143,2834,2556,2204,1865,1648,1204,811,631,304,0,0,0,0
"Bloomfield","? County","Wisconsin",4642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomington","Grant County","Wisconsin",719,735,701,776,743,719,735,631,677,591,657,620,611,587,403,365,0,0,0
"Blue Mounds","Dane County","Wisconsin",930,855,708,446,387,261,227,207,196,182,0,0,0,0,0,0,0,0,0
"Blue River","Grant County","Wisconsin",421,434,429,438,412,369,356,425,381,346,396,0,0,0,0,0,0,0,0
"Boaz","Richland County","Wisconsin",153,156,137,131,161,126,117,188,230,0,0,0,0,0,75,0,0,0,0
"Bonduel","Shawano County","Wisconsin",1468,1478,1416,1210,1160,995,876,742,661,534,504,0,0,0,0,0,0,0,0
"Boscobel","Grant County","Wisconsin",3188,3231,3047,2706,2662,2510,2608,2347,2008,1762,1670,1525,1637,1570,1428,1509,0,0,0
"Bowler","Shawano County","Wisconsin",300,302,343,279,339,272,274,344,315,318,0,0,0,0,0,0,0,0,0
"Boyceville","Dunn County","Wisconsin",1104,1086,1043,913,862,725,660,645,533,573,0,0,0,0,0,0,0,0,0
"Boyd","Chippewa County","Wisconsin",545,552,680,683,660,574,622,619,618,540,478,527,674,545,0,0,0,0,0
"Brandon","Fond du Lac County","Wisconsin",862,879,912,872,862,872,758,728,708,646,682,684,663,660,601,0,0,0,0
"Brillion","Calumet County","Wisconsin",3159,3148,2937,2840,2907,2588,1783,1390,1200,1167,1102,998,855,582,278,0,0,0,0
"Bristol","? County","Wisconsin",4931,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brodhead","Green County","Wisconsin",3284,3293,3180,3165,3153,2515,2444,2016,1750,1533,1600,1517,1584,1461,1254,1548,0,0,0
"Brokaw","Marathon County","Wisconsin",253,251,107,224,298,312,319,380,477,514,493,458,0,0,0,0,0,0,0
"Brookfield","Waukesha County","Wisconsin",37982,37920,38649,35184,34035,31761,19812,0,0,0,0,0,0,0,0,0,0,0,0
"Brooklyn","Dane/Green County","Wisconsin",1446,1401,916,789,627,565,590,479,449,406,407,362,0,0,0,0,0,0,0
"Brown Deer","Milwaukee County","Wisconsin",12102,11999,12170,12236,12921,12582,11280,0,0,0,0,0,0,0,0,0,0,0,0
"Brownsville","Dodge County","Wisconsin",583,581,570,415,433,374,276,0,0,0,0,0,0,0,0,0,0,0,0
"Browntown","Green County","Wisconsin",282,280,252,256,284,253,263,279,271,291,245,222,246,0,0,0,0,0,0
"Bruce","Rusk County","Wisconsin",744,779,787,844,905,799,815,867,596,548,561,565,0,0,0,0,0,0,0
"Buffalo City","Buffalo County","Wisconsin",976,1023,1040,915,894,671,484,319,293,261,286,255,254,223,248,268,184,0,0
"Burlington","Racine County","Wisconsin",10541,10464,9936,8855,8385,7479,5856,4780,4414,4114,3626,3212,2526,2043,1611,1589,993,0,0
"Butler","Waukesha County","Wisconsin",1831,1841,1881,2079,2059,2261,2274,1047,778,703,564,0,0,0,0,0,0,0,0
"Butternut","Ashland County","Wisconsin",371,375,407,416,438,453,499,522,669,604,618,717,0,0,0,0,0,0,0
"Cadott","Chippewa County","Wisconsin",1431,1437,1345,1328,1247,977,262,250,314,631,723,765,840,889,72,0,0,0,0
"Caledonia","? County","Wisconsin",24708,24705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambria","Columbia County","Wisconsin",758,767,792,768,680,631,589,633,688,671,679,657,561,524,504,502,0,0,0
"Cambridge","Dane County","Wisconsin",1488,1457,1101,963,844,689,605,552,577,500,490,507,0,452,303,0,0,0,0
"Cameron","Barron County","Wisconsin",1783,1783,1546,1273,1115,893,982,963,807,760,572,562,394,0,0,0,0,0,0
"Camp Douglas","Juneau County","Wisconsin",614,601,592,512,589,547,489,556,445,438,471,473,432,225,0,0,0,0,0
"Campbellsport","Fond du Lac County","Wisconsin",1983,2016,1913,1732,1740,1681,1472,1254,1094,789,730,650,0,0,319,0,0,0,0
"Cascade","Sheboygan County","Wisconsin",701,709,666,620,615,603,449,403,358,286,362,0,0,0,255,0,0,0,0
"Casco","Kewaunee County","Wisconsin",581,583,572,544,484,481,460,389,292,246,0,0,0,0,0,0,0,0,0
"Cashton","Monroe County","Wisconsin",1093,1102,1005,780,827,824,828,836,706,680,753,568,510,0,45,0,0,0,0
"Cassville","Grant County","Wisconsin",922,947,1085,1144,1270,1343,1290,984,956,875,899,890,979,886,610,551,0,0,0
"Catawba","Price County","Wisconsin",106,110,149,178,205,215,230,233,290,282,0,0,0,0,0,0,0,0,0
"Cazenovia","Richland County","Wisconsin",325,318,326,288,259,335,351,403,370,466,488,392,0,0,161,0,0,0,0
"Cecil","Shawano County","Wisconsin",559,570,466,373,445,369,357,395,370,356,379,351,0,0,0,0,0,0,0
"Cedar Grove","Sheboygan County","Wisconsin",2109,2113,1887,1521,1420,1276,1175,1010,907,814,654,498,327,0,0,0,0,0,0
"Cedarburg","Ozaukee County","Wisconsin",11506,11412,10908,9895,9005,7697,5191,2810,2245,2055,1738,1777,1626,1361,945,0,0,0,0
"Centuria","Polk County","Wisconsin",922,948,865,790,711,632,551,521,411,435,358,301,0,0,0,0,0,0,0
"Chaseburg","Vernon County","Wisconsin",299,284,306,365,279,224,242,219,258,218,0,0,0,0,125,0,0,0,0
"Chenequa","Waukesha County","Wisconsin",600,590,583,601,532,642,445,270,288,339,0,0,0,0,0,0,0,0,0
