"Ketchikan city",8245,8050,7922,8263,7198,6994,6483,5305,4695,3796,2458,1613,459,40,"-"
"Kiana city",371,361,388,385,345,278,253,181,167,115,98,"-","-","-","-"
"King Cove city",1015,938,792,451,460,283,290,162,135,"-","-","-","-","-","-"
"Kivalina city",384,374,377,317,241,188,142,117,98,99,87,"-","-","-","-"
"Klawock city",774,755,854,722,318,213,251,404,455,437,19,241,"-","-","-"
"Kobuk city",155,151,109,69,62,"-",54,38,31,"-","-","-","-","-","-"
"Kodiak city",6304,6130,6334,6365,4756,3798,2628,1710,864,442,374,438,341,496,"-"
"Kotlik city",619,577,591,461,293,"-",57,44,35,14,83,"-","-","-","-"
"Kotzebue city",3284,3201,3082,2751,2090,1696,1290,623,372,291,230,103,"-","-","-"
"Koyuk city",341,332,297,231,188,"-",129,134,100,110,"-","-","-","-","-"
"Koyukuk city",95,96,101,126,98,"-",128,79,106,143,124,121,"-","-","-"
"Kupreanof city",27,27,23,23,47,"-","-","-","-","-","-","-","-","-","-"
"Kwethluk city",757,721,713,558,454,"-",325,242,186,"-","-","-","-","-","-"
"Larsen Bay city",89,87,115,147,168,"-",72,53,38,"-","-","-","-","-","-"
"Lower Kalskag city",296,282,267,291,246,183,122,88,"-","-","-","-","-","-","-"
"Manokotak city",455,442,399,385,294,214,149,120,"-","-","-","-","-","-","-"
"Marshall city",444,414,349,273,262,175,166,95,91,"-","-","-","-","-","-"
"McGrath city",344,346,401,528,355,279,241,175,138,112,90,"-","-","-","-"
"Mekoryuk city",201,191,210,177,160,249,242,156,"-","-","-","-","-","-","-"
"Mountain Village city",872,813,755,674,583,419,300,221,128,76,136,"-","-","-","-"
"Napakiak city",372,354,353,318,262,"-",190,139,113,"-","-","-","-","-","-"
"Napaskiak city",425,405,390,328,244,259,154,121,67,"-","-","-","-","-","-"
"Nenana city",376,378,402,393,470,382,286,242,231,291,634,190,"-","-","-"
"New Stuyahok city",525,510,471,391,331,216,145,88,"-","-","-","-","-","-","-"
"Newhalen city",190,190,160,160,87,88,63,48,55,"-","-","-","-","-","-"
"Nightmute city",294,280,208,153,119,127,237,27,78,"-","-","-","-","-","-"
"Nikolai city",94,94,100,109,91,112,85,88,"-","-","-","-","-","-","-"
"Nome city",3788,3598,3505,3500,2301,2357,2316,1876,1559,1213,852,2600,12488,"-","-"
"Nondalton city",164,164,221,178,173,184,205,103,82,24,69,"-","-","-","-"
