"Ball Ground","Cherokee","Georgia",1658,1433,730,905,640,617,707,700,711,706,809,443,302,296,0,0,0,0,0,0,0,0,0
"Barnesville","Lamar","Georgia",6670,6755,5972,4747,4887,4935,4919,4185,3535,3236,3059,3068,3036,1839,1962,754,0,0,0,0,0,0,0
"Bartow","Jefferson","Georgia",268,286,223,292,357,333,366,347,438,416,582,384,286,437,248,0,0,0,0,0,0,0,0
"Barwick","Brooks/Thomas","Georgia",378,386,444,385,413,432,400,436,409,499,422,381,0,0,0,0,0,0,0,0,0,0,0
"Baxley","Appling","Georgia",4463,4400,4150,3841,3586,3503,4268,3409,2916,2122,1142,831,488,337,110,0,0,0,0,0,0,0,0
"Bellville","Evans","Georgia",123,123,130,192,173,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berkeley Lake","Gwinnett","Georgia",1983,1574,1695,791,503,219,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin","Colquitt","Georgia",562,551,595,480,538,422,419,309,322,250,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bethlehem","Barrow","Georgia",652,601,716,348,281,304,297,240,242,209,246,209,0,0,0,0,0,0,0,0,0,0,0
"Between","Walton","Georgia",314,296,148,82,87,94,80,120,115,106,101,104,0,0,0,0,0,0,0,0,0,0,0
"Bibb City","Muscogee","Georgia",,,510,597,667,812,1213,1452,1631,1707,1090,463,0,0,0,0,0,0,0,0,0,0,0
"Bishop","Oconee","Georgia",238,224,146,158,172,235,214,253,217,241,300,268,0,0,0,0,0,0,0,0,0,0,0
"Blackshear","Pierce","Georgia",3549,3445,3283,3263,3222,2624,2482,2271,2010,1817,1329,1235,876,656,778,490,319,0,0,0,0,0,0
"Blairsville","Union","Georgia",553,652,659,564,530,491,437,430,458,298,230,203,141,114,101,0,0,0,0,0,0,0,0
"Blakely","Early","Georgia",4795,5068,5696,5595,5880,5267,3580,3234,2774,2106,1985,1838,804,441,279,0,0,0,0,0,0,0,0
"Bloomingdale","Chatham","Georgia",2760,2713,2665,2271,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Ridge","Fannin","Georgia",1263,1290,1210,1336,1376,1602,1406,1718,1362,1190,904,898,1148,264,0,0,0,0,0,0,0,0,0
"Bluffton","Clay","Georgia",101,103,118,138,132,105,176,244,246,292,301,325,312,298,76,0,0,0,0,0,0,0,0
"Blythe","Burke/Richmond","Georgia",704,721,718,300,367,333,172,268,181,209,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bogart","Oconee (Clark)","Georgia",1036,1034,1049,1018,819,667,403,459,379,346,430,257,0,0,0,0,0,0,0,0,0,0,0
"Boston","Thomas","Georgia",1322,1315,1417,1395,1424,1443,1357,1035,1099,1243,1640,1130,722,646,360,0,0,0,0,0,0,0,0
"Bostwick","Morgan","Georgia",366,365,322,307,357,289,272,287,318,298,424,333,0,0,0,0,0,0,0,0,0,0,0
"Bowdon","Carroll","Georgia",2053,2040,1959,1981,1743,1753,1548,1155,1024,1024,1047,541,307,354,333,350,304,0,0,0,0,0,0
"Bowersville","Hart","Georgia",463,465,334,311,318,301,293,303,284,271,390,398,294,275,0,0,0,0,0,0,0,0,0
"Bowman","Elbert","Georgia",825,862,898,791,890,724,654,714,634,604,730,738,367,323,0,0,0,0,0,0,0,0,0
"Braselton","Jackson","Georgia",8727,7511,1206,418,308,386,255,165,197,189,148,0,0,0,0,0,0,0,0,0,0,0,0
"Braswell","Paulding/Polk","Georgia",384,379,80,247,282,30,14,25,56,76,58,95,100,0,0,0,0,0,0,0,0,0,0
"Bremen","Haralson","Georgia",6290,6227,4579,4356,3966,3484,3132,2299,1708,1030,917,890,291,312,0,0,0,0,0,0,0,0,0
"Brinson","Decatur","Georgia",211,215,225,238,274,231,246,248,305,368,470,707,0,0,0,0,0,0,0,0,0,0,0
"Bronwood","Terrell","Georgia",392,225,513,513,524,500,400,337,437,485,520,465,359,406,0,0,0,0,0,0,0,0,0
"Brookhaven","DeKalb","Georgia",51079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooklet","Bulloch","Georgia",1419,1395,1113,1013,1035,683,557,536,503,536,600,361,0,0,0,0,0,0,0,0,0,0,0
"Brooks","Fayette","Georgia",540,524,553,328,199,172,158,136,134,223,256,0,0,0,0,0,0,0,0,0,0,0,0
"Broxton","Coffee","Georgia",1182,1189,1428,1211,1117,957,907,890,908,830,696,1040,0,0,0,0,0,0,0,0,0,0,0
"Brunswick","Glynn","Georgia",15903,15383,15600,16433,17605,19585,21703,17954,15035,14022,14413,10182,9081,8459,2891,2348,825,0,0,0,0,36,0
"Buchanan","Haralson","Georgia",1145,1104,941,1009,1019,800,753,651,504,429,491,462,359,324,158,0,0,0,0,0,0,0,0
"Buckhead","Morgan","Georgia",171,171,205,176,219,177,169,220,214,273,451,384,240,0,0,0,0,0,0,0,0,0,0
"Buena Vista","Marion","Georgia",2216,2173,1664,1472,1544,1486,1574,1428,1161,1097,1230,1016,1161,788,529,525,0,530,0,0,0,0,0
"Buford","Gwinnett","Georgia",13392,12225,10668,8771,6578,4640,4168,3812,4191,3357,2500,1683,1352,496,896,0,0,0,0,0,0,0,0
"Butler","Taylor","Georgia",1928,1972,1907,1673,1959,1589,1346,1182,1093,857,758,705,707,712,0,0,0,0,0,0,0,0,0
"Byromville","Dooly","Georgia",526,546,415,452,567,419,349,288,275,315,414,300,0,0,0,0,0,0,0,0,0,0,0
"Byron","Peach","Georgia",4947,4512,2887,2276,1661,1368,1138,379,305,318,0,0,0,0,137,0,0,0,0,0,0,0,0
"Cadwell","Laurens","Georgia",534,528,329,458,353,354,360,310,291,208,274,154,0,0,0,0,0,0,0,0,0,0,0
"Cairo","Grady","Georgia",9806,9607,9239,9035,8777,8061,7427,5577,4653,3169,1908,1505,690,521,275,0,0,0,0,0,0,0,0
"Calhoun","Gordon","Georgia",16052,15650,10667,7135,5563,4748,3587,3231,2955,2371,1955,1652,851,680,510,427,0,0,0,0,0,0,0
