"Casselton","Cass County","North Dakota",2523,2329,1855,1601,1661,1485,1394,1373,1358,1253,1538,1553,1207,840,361
"Cathay","Wells County","North Dakota",43,43,56,54,66,110,110,209,189,235,185,225,0,0,0
"Cavalier","Pembina County","North Dakota",1249,1302,1537,1508,1505,1381,1423,1459,1105,850,819,652,671,0,0
"Cayuga","Sargent County","North Dakota",27,27,61,60,75,116,195,178,196,219,182,175,0,0,0
"Center","Oliver County","North Dakota",569,571,678,826,900,619,476,492,509,293,0,0,0,0,0
"Christine","Richland County","North Dakota",152,150,153,140,147,0,0,0,0,0,0,0,0,0,0
"Churchs Ferry","Ramsey County","North Dakota",12,12,77,118,139,139,161,223,244,295,0,457,264,0,0
"Cleveland","Stutsman County","North Dakota",82,83,112,121,130,128,169,181,246,273,341,0,0,0,0
"Clifford","Traill County","North Dakota",44,44,51,51,51,84,109,158,0,0,0,0,0,0,0
"Cogswell","Sargent County","North Dakota",100,99,165,184,227,203,305,393,430,426,445,418,0,0,0
"Coleharbor","McLean County","North Dakota",85,79,106,88,150,112,210,315,0,0,0,0,0,0,0
"Colfax","Richland County","North Dakota",136,121,91,80,101,70,98,0,0,0,0,0,0,0,0
"Columbus","Burke County","North Dakota",150,133,151,223,325,465,672,525,506,516,332,225,0,0,0
"Conway","Walsh County","North Dakota",22,23,23,24,33,57,67,107,120,100,148,184,216,0,0
"Cooperstown","Griggs County","North Dakota",946,984,1053,1247,1308,1485,1424,1189,1077,1053,1112,1019,648,368,0
"Courtenay","Stutsman County","North Dakota",44,45,53,70,110,125,168,229,297,350,490,539,0,0,0
"Crary","Ramsey County","North Dakota",142,142,149,145,139,150,195,235,267,278,307,279,0,0,0
"Crosby","Divide County","North Dakota",1383,1070,1089,1312,1469,1545,1759,1689,1404,1271,1147,206,0,0,0
"Crystal","Pembina County","North Dakota",132,138,167,199,256,272,372,429,428,314,349,376,385,0,0
"Davenport","Cass County","North Dakota",256,252,261,218,195,147,143,150,147,205,214,226,245,0,0
"Dawson","Kidder County","North Dakota",61,61,75,78,144,131,206,280,263,306,293,0,0,0,0
"Dazey","Barnes County","North Dakota",103,104,91,129,143,128,226,196,215,251,293,265,0,0,0
"Deering","McHenry County","North Dakota",115,98,118,99,85,75,117,136,140,192,142,150,0,0,0
"Des Lacs","Ward County","North Dakota",203,204,209,216,212,197,185,180,197,205,188,0,0,0,0
"Devils Lake","Ramsey County","North Dakota",7288,7141,7222,7782,7442,7078,6299,6427,6204,5519,5004,5157,1729,846,0
"Dickey","LaMoure County","North Dakota",42,42,57,53,74,118,143,165,203,168,190,187,0,0,0
"Dickinson","Stark County","North Dakota",22322,17787,16010,16097,15924,12405,9971,7469,5839,5025,4122,3678,2076,897,0
"Dodge","Dunn County","North Dakota",105,87,125,135,199,121,226,251,234,204,172,0,0,0,0
"Donnybrook","Ward County","North Dakota",55,59,90,106,139,163,196,207,215,259,267,297,0,0,0
"Douglas","Ward County","North Dakota",61,64,64,93,112,144,210,236,313,288,284,171,0,0,0
"Drake","McHenry County","North Dakota",291,275,322,361,479,636,752,831,654,644,517,348,0,0,0
"Drayton","Pembina County","North Dakota",789,824,913,961,1082,1095,940,875,688,502,637,587,688,318,62
"Dunn Center","Dunn County","North Dakota",196,146,122,128,170,107,250,246,238,276,247,0,0,0,0
"Dunseith","Rolette County","North Dakota",795,773,739,723,625,811,1017,713,719,484,374,478,0,0,0
"Dwight","Richland County","North Dakota",81,82,75,83,72,93,101,129,168,104,139,0,0,0,0
"Edgeley","LaMoure County","North Dakota",554,563,637,680,843,888,992,943,803,821,803,749,306,0,0
"Edinburg","Walsh County","North Dakota",191,196,252,284,300,315,330,343,378,284,278,300,286,0,0
"Edmore","Ramsey County","North Dakota",177,182,256,329,416,398,405,458,453,396,501,344,0,0,0
"Egeland","Towner County","North Dakota",29,28,49,103,112,96,190,248,275,333,306,266,0,0,0
