"Fitzwilliam","town","Cheshire County","New Hampshire",2339,2396,2141,2011,1795,1362,966,872,824,850,962,1148,987,1122,1187,1140,1294,1482,1366,1229,1167,1301,1240,1038
"Gilsum","town","Cheshire County","New Hampshire",802,813,777,745,652,570,528,578,491,506,439,470,590,643,663,590,676,668,656,412,601,513,484,298
"Harrisville","town","Cheshire County","New Hampshire",946,961,1075,981,860,584,459,519,509,512,559,623,791,748,870,0,0,0,0,0,0,0,0,0
"Hinsdale","town","Cheshire County","New Hampshire",3903,4046,4082,3936,3631,3276,2187,1950,1762,1757,1773,1673,1933,2258,1868,1342,1312,1963,1141,937,890,740,634,522
"Jaffrey","town","Cheshire County","New Hampshire",5300,5457,5476,5361,4349,3353,3154,2911,2879,2485,2303,1895,1801,1469,1267,1256,1453,1497,1411,1354,1339,1336,1341,1235
"Keene","town","Cheshire County","New Hampshire",23265,23409,22563,22430,21449,20467,17562,15638,13832,13794,11210,10068,9165,7446,6784,5971,4320,3392,2611,2574,1895,1646,1645,1314
"Marlborough","town","Cheshire County","New Hampshire",2064,2063,2009,1927,1846,1671,1612,1561,1431,1508,1380,1478,1524,1695,1286,1017,915,887,831,822,766,1142,1185,786
"Marlow","town","Cheshire County","New Hampshire",728,742,747,650,542,390,350,330,288,330,401,425,488,584,701,716,813,708,626,645,597,566,543,313
"Nelson","town","Cheshire County","New Hampshire",717,729,634,535,442,304,222,231,282,162,171,231,295,332,438,744,699,750,835,875,907,1076,977,721
"Richmond","town","Cheshire County","New Hampshire",1137,1155,1077,877,518,287,295,259,296,241,306,393,459,476,669,868,1015,1128,1165,1301,1391,1290,1390,1380
"Rindge","town","Cheshire County","New Hampshire",5853,6014,5451,4941,3375,2175,941,707,629,610,643,706,855,996,934,1107,1231,1274,1161,1269,1298,1226,1196,1143
"Roxbury","town","Cheshire County","New Hampshire",224,229,237,248,190,161,137,117,113,53,56,66,100,129,126,174,212,260,286,322,366,0,0,0
"Stoddard","town","Cheshire County","New Hampshire",1234,1232,928,622,482,242,146,200,218,113,213,257,367,400,553,667,944,1105,1006,1159,1203,1132,1148,701
"Sullivan","town","Cheshire County","New Hampshire",671,677,746,706,585,376,261,272,255,192,206,266,287,337,382,347,376,468,496,555,582,516,488,220
"Surry","town","Cheshire County","New Hampshire",723,732,673,667,656,507,362,291,236,198,200,213,250,270,326,318,389,556,481,539,570,564,569,448
"Swanzey","town","Cheshire County","New Hampshire",7203,7230,6800,6236,5183,4254,3626,2806,2262,2066,1593,1656,1570,1600,1661,1626,1798,2106,1755,1816,1716,1400,1271,1157
"Troy","town","Cheshire County","New Hampshire",2086,2145,1962,2097,2131,1713,1445,1360,1321,1267,1444,1331,1527,999,796,767,761,759,683,676,676,0,0,0
"Walpole","town","Cheshire County","New Hampshire",3767,3734,3594,3210,3188,2966,2825,2536,2400,2287,2553,2668,2693,2163,2018,1830,1868,2034,2015,1974,2020,1894,1743,1245
