"Damascus","Clackamas County","Oregon",10893,10539,9022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dayton","Yamhill County","Oregon",2572,2534,2119,1526,1409,949,673,719,506,375,448,453,293,304,368,0,0
"Dayville","Grant County","Oregon",145,149,138,144,199,197,234,286,136,106,117,0,0,0,0,0,0
"Depoe Bay","Lincoln County","Oregon",1400,1398,1174,870,723,0,0,0,0,0,0,0,0,0,0,0,0
"Detroit","Marion County","Oregon",210,202,262,331,367,328,206,0,0,0,0,0,0,0,0,0,0
"Donald","Marion County","Oregon",979,979,612,316,267,231,201,187,164,114,126,0,0,0,0,0,0
"Drain","Douglas County","Oregon",1141,1151,1021,1011,1148,1204,1052,1150,597,497,607,335,193,0,188,0,0
"Dufur","Wasco County","Oregon",607,604,588,527,560,493,488,422,392,382,533,523,336,0,0,0,0
"Dundee","Yamhill County","Oregon",3197,3162,2598,1663,1223,588,318,308,209,232,193,196,124,0,0,0,0
"Dunes City","Lane County","Oregon",1327,1303,1241,1081,1124,976,0,0,0,0,0,0,0,0,0,0,0
"Durham","Washington County","Oregon",1924,1351,1382,748,707,410,0,0,0,0,0,0,0,0,0,0,0
"Eagle Point","Jackson County","Oregon",8753,8469,4798,3008,2764,1241,752,607,243,211,128,0,0,0,0,0,0
"Echo","Umatilla County","Oregon",704,699,650,499,624,479,456,457,280,311,501,400,0,0,0,0,0
"Elgin","Union County","Oregon",1713,1711,1654,1586,1701,1375,1315,1223,997,728,1043,1120,603,227,0,0,0
"Elkton","Douglas County","Oregon",194,195,149,172,155,176,146,201,0,0,0,0,0,0,0,0,0
"Enterprise","Wallowa County","Oregon",1886,1940,1895,1905,2003,1680,1932,1718,1709,1379,1895,1242,396,242,0,0,0
"Estacada","Clackamas County","Oregon",2999,2695,2371,2016,1419,1164,957,950,526,524,483,405,0,0,0,0,0
"Eugene","Lane County","Oregon",160561,156185,138319,112669,105664,79028,50977,35879,20838,18901,10593,9009,3236,0,1117,861,1183
"Fairview","Multnomah County","Oregon",9218,8920,7561,2391,1749,1045,578,438,305,266,184,204,0,0,0,0,0
"Falls City","Polk County","Oregon",960,947,966,818,804,745,653,853,715,494,994,969,269,0,0,0,0
"Florence","Lane County","Oregon",8506,8466,7263,5162,4411,2246,1642,1026,458,339,317,311,222,0,68,0,0
"Forest Grove","Washington County","Oregon",23096,21083,17710,13559,11499,8275,5628,4343,2449,1859,1015,1772,1096,668,547,0,0
"Fossil","Wheeler County","Oregon",449,473,469,399,535,511,672,645,532,538,519,421,288,153,0,0,0
"Garibaldi","Tillamook County","Oregon",768,779,899,877,999,1083,1163,1249,0,0,0,0,0,0,0,0,0
"Gaston","Washington County","Oregon",673,637,600,563,471,429,320,368,333,227,221,0,0,0,0,0,0
"Gates","Marion County","Oregon",477,471,471,499,455,250,189,0,0,0,0,0,0,0,0,0,0
"Gearhart","Clatsop County","Oregon",1506,1462,995,1027,967,829,725,56,319,125,127,0,0,0,0,0,0
"Gervais","Marion County","Oregon",2575,2464,2009,992,799,746,438,457,332,254,268,276,224,0,202,0,0
"Gladstone","Clackamas County","Oregon",11888,11497,11438,10152,9500,6254,3854,2434,1629,1348,1069,0,0,0,0,0,0
"Glendale","Douglas County","Oregon",866,874,855,707,712,709,748,871,557,516,548,646,0,0,0,0,0
"Gold Beach","Curry County","Oregon",2247,2253,1897,1546,1515,1554,1765,677,0,0,0,0,0,0,0,0,0
"Gold Hill","Jackson County","Oregon",1254,1220,1073,964,904,603,608,619,0,502,422,0,385,0,0,0,0
"Granite","Grant County","Oregon",37,38,24,8,17,4,3,40,86,45,55,89,245,0,0,0,0
"Grants Pass","Josephine County","Oregon",35272,34533,23938,17488,15032,12455,10118,8116,6028,4666,3151,3897,2290,1432,0,0,0
"Grass Valley","Sherman County","Oregon",161,164,171,160,164,153,234,195,204,208,317,342,0,0,0,0,0
"Gresham","Multnomah County","Oregon",109892,105594,90205,68235,33005,10030,3944,3049,1951,1635,1103,540,0,0,0,0,0
"Haines","Baker County","Oregon",413,416,426,405,341,314,331,321,377,431,503,423,0,0,0,0,0
"Halfway","Baker County","Oregon",288,288,339,311,380,317,505,312,416,351,324,186,0,0,0,0,0
"Halsey","Linn County","Oregon",922,904,724,667,693,467,404,388,305,300,339,337,294,270,306,0,0
"Happy Valley","Clackamas County","Oregon",17319,13903,5109,1519,1499,1392,0,0,0,0,0,0,0,0,0,0,0
"Harrisburg","Linn County","Oregon",3641,3567,2795,1939,1881,1311,939,862,622,575,573,453,502,413,422,0,0
"Helix","Umatilla County","Oregon",186,184,183,150,155,152,148,182,121,193,200,109,0,0,0,0,0
"Heppner","Morrow County","Oregon",1284,1291,1395,1412,1498,1429,1661,1648,1140,1190,1324,880,1146,675,318,0,0
"Hermiston","Umatilla County","Oregon",17137,16745,13156,10040,9408,4893,4402,3804,803,608,655,647,0,0,0,0,0
