"Bakersfield","Ozark County","Missouri",238,246,285,292,241,210,0,0,177,181,0,0,0,0,0,0,0,0,0,0
"Baldwin Park","Cass County","Missouri",92,92,115,85,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ballwin","St. Louis County","Missouri",30505,30404,31283,21816,12656,10656,5710,0,0,0,0,0,0,0,159,0,0,84,0,0
"Baring","Knox County","Missouri",129,132,159,182,206,206,213,274,259,329,248,379,241,266,0,0,0,0,0,0
"Barnard","Nodaway County","Missouri",215,221,257,234,234,206,237,275,341,325,345,338,362,427,424,0,0,0,0,0
"Barnett","Morgan County","Missouri",202,203,207,215,203,167,200,200,239,242,221,118,0,0,0,0,0,0,0,0
"Bates City","Lafayette County","Missouri",220,219,245,197,199,229,110,87,103,94,98,74,0,0,0,0,0,0,0,0
"Battlefield","Greene County","Missouri",5925,5590,2385,1526,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bella Villa","St. Louis County","Missouri",739,729,687,708,758,1018,779,557,0,0,0,0,0,0,0,0,0,0,0,0
"Bell City","Stoddard County","Missouri",439,448,461,469,539,424,409,482,300,256,0,316,100,0,0,0,0,0,0,0
"Belle","Maries County","Missouri",1535,1545,1344,1218,1233,1133,1016,906,621,630,437,383,0,0,0,0,0,0,0,0
"Bellefontaine Neighbors","St. Louis County","Missouri",10807,10860,11271,10922,12082,14084,13650,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellerive","St. Louis County","Missouri",188,188,254,238,255,437,314,180,132,0,0,0,0,0,0,0,0,0,0,0
"Bellflower","Montgomery County","Missouri",370,393,427,413,403,360,245,226,218,246,297,0,0,0,0,0,0,0,0,0
"Bel-Nor","St. Louis County","Missouri",1486,1499,1598,2935,2047,2247,2388,1290,937,0,0,0,0,0,0,0,0,0,0,0
"Bel-Ridge","St. Louis County","Missouri",2724,2737,3082,3199,3682,5346,4395,1116,0,0,0,0,0,0,0,0,0,0,0,0
"Belton","Cass County","Missouri",23165,23116,21730,18150,12708,12270,4897,1233,971,992,899,922,1005,988,552,0,0,0,0,0
"Benton","Scott County","Missouri",860,863,732,575,674,640,554,546,408,345,312,320,234,202,109,0,0,0,0,0
"Benton City","Audrain County","Missouri",105,104,122,139,155,121,155,141,136,120,130,233,116,109,64,0,0,0,0,0
"Berger","Franklin County","Missouri",220,221,206,247,214,226,187,210,213,231,0,0,0,0,134,0,0,0,0,0
"Berkeley","St. Louis County","Missouri",9084,8978,10063,12450,15922,19743,18676,5268,2577,0,0,0,0,0,0,0,0,0,0,0
"Bernie","Stoddard County","Missouri",1951,1958,1777,1847,1975,1641,1578,1308,1160,1031,1571,742,333,0,0,0,0,0,0,0
"Bertrand","Mississippi County","Missouri",804,821,740,692,688,604,465,390,377,322,355,346,206,221,126,0,0,0,0,0
"Bethany","Harrison County","Missouri",3158,3292,3087,3005,3095,2914,2771,2714,2682,2209,2080,1931,2093,1105,994,0,0,0,0,0
"Bethel","Shelby County","Missouri",118,122,121,117,132,143,152,194,217,251,254,235,225,0,184,0,0,0,0,0
"Beverly Hills","St. Louis County","Missouri",568,574,603,660,712,846,849,938,687,0,0,0,0,0,0,0,0,0,0,0
"Bevier","Macon County","Missouri",711,718,723,643,733,806,781,838,1105,1229,1868,1900,1808,876,867,833,0,0,0,0
"Bigelow","Holt County","Missouri",25,27,38,32,67,84,100,132,143,138,161,156,195,0,190,0,0,0,0,0
"Big Lake","Holt County","Missouri",146,159,127,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billings","Christian County","Missouri",1073,1035,1091,989,911,760,602,597,452,472,614,760,702,464,129,0,0,0,0,0
"Birch Tree","Shannon County","Missouri",669,679,634,599,622,573,420,409,495,505,452,497,0,535,0,0,0,0,0,0
"Birmingham","Clay County","Missouri",191,183,214,222,240,266,201,236,160,273,175,136,217,401,0,0,0,0,0,0
"Bismarck","St. Francois County","Missouri",1493,1546,1470,1579,1625,1387,1237,1244,1302,1185,949,848,708,837,286,0,0,0,0,0
"Blackburn","Saline County","Missouri",251,249,284,308,314,294,310,306,314,292,333,389,458,372,214,0,0,0,0,0
"Black Jack","St. Louis County","Missouri",6935,6929,6792,6128,5293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blackwater","Cooper County","Missouri",162,162,199,221,290,249,284,313,389,506,478,371,285,0,0,0,0,0,0,0
"Blairstown","Henry County","Missouri",96,97,141,185,144,161,177,199,214,237,280,288,291,0,0,0,0,0,0,0
"Bland","Gasconade County","Missouri",523,539,565,651,662,621,654,596,565,577,470,359,0,0,0,0,0,0,0,0
"Blodgett","Scott County","Missouri",211,213,265,202,255,220,203,218,253,252,392,422,209,0,43,0,0,0,0,0
"Bloomfield","Stoddard County","Missouri",1907,1933,1952,1800,1795,1584,1330,1382,1208,1023,1094,1147,1475,0,389,379,0,0,0,0
"Bloomsdale","Ste. Genevieve County","Missouri",523,521,419,353,397,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Eye","Stone County","Missouri",157,167,129,112,94,91,74,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Springs","Jackson County","Missouri",53573,52575,48080,40153,25936,6779,2555,1068,788,706,551,561,468,506,129,0,0,0,0,0
"Blythedale","Harrison County","Missouri",187,193,233,130,219,213,179,238,266,253,294,345,315,0,0,0,0,0,0,0
"Bogard","Carroll County","Missouri",160,164,234,228,285,294,277,285,334,329,381,316,276,300,0,0,0,0,0,0
"Bolckow","Andrew County","Missouri",189,187,234,253,245,225,232,250,341,353,334,376,378,405,346,0,0,0,0,0
"Bolivar","Polk County","Missouri",10572,10325,9143,6845,5919,4769,3512,3482,2636,2256,1980,1975,1869,1485,516,635,409,0,0,0
"Bonne Terre","St. Francois County","Missouri",7031,6864,4039,3871,3797,3622,3219,3533,3730,4021,3815,0,0,3719,0,0,0,0,0,0
"Boonville","Cooper County","Missouri",8374,8319,8202,7095,6959,7514,7090,6686,6089,6435,4665,4252,4377,4141,3854,3506,2596,2326,0,0
"Bosworth","Carroll County","Missouri",298,305,382,334,394,386,465,503,505,612,672,767,401,0,0,0,0,0,0,0
"Bourbon","Crawford County","Missouri",1627,1632,1348,1188,1259,955,779,543,360,379,377,382,0,0,31,0,0,0,0,0
"Bowling Green","Pike County","Missouri",5505,5334,3260,2976,3022,2936,2650,2396,1975,1855,1965,1585,1902,1564,1067,599,379,319,0,0
"Bragg City","Pemiscot County","Missouri",145,149,189,117,200,210,274,294,318,205,402,0,0,0,0,0,0,0,0,0
"Brandsville","Howell County","Missouri",160,161,174,167,133,145,128,204,224,254,352,0,0,0,0,0,0,0,0,0
"Branson","Taney County","Missouri",11340,10520,6050,3706,2550,2175,1887,1314,1011,958,598,0,0,0,0,0,0,0,0,0
"Branson West","Stone County","Missouri",452,478,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brashear","Adair County","Missouri",271,273,280,318,332,316,309,119,345,438,339,458,401,316,164,0,0,0,0,0
"Braymer","Caldwell County","Missouri",849,878,910,886,986,919,874,955,975,933,1018,1027,767,399,0,0,0,0,0,0
"Breckenridge","Caldwell County","Missouri",360,383,454,418,523,598,605,617,728,828,860,1025,1012,768,777,515,0,0,0,0
"Breckenridge Hills","St. Louis County","Missouri",4720,4746,4817,5404,5666,7011,6299,4063,0,0,0,0,0,0,0,0,0,0,0,0
"Brentwood","St. Louis County","Missouri",8043,8055,7693,8150,8209,11248,12250,7504,4383,2819,0,0,0,0,0,0,0,0,0,0
"Bridgeton","St. Louis County","Missouri",11782,11550,15550,17779,18445,19992,7820,202,169,152,121,129,178,237,197,0,0,0,0,0
"Brimson","Grundy County","Missouri",63,63,63,72,104,103,107,139,193,181,171,104,0,0,0,0,0,0,0,0
"Bronaugh","Vernon County","Missouri",249,249,245,211,209,203,173,214,265,192,285,263,190,148,0,0,0,0,0,0
"Brookfield","Linn County","Missouri",4364,4542,4769,4888,5555,5491,5694,5810,6174,6428,6304,5749,5484,4547,2264,402,0,0,0,0
"Brooklyn Heights","Jasper County","Missouri",99,100,125,116,126,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Browning","Linn County","Missouri",256,265,317,331,368,412,412,492,531,590,694,629,726,527,187,0,0,0,0,0
"Brownington","Henry County","Missouri",106,107,119,84,112,95,130,179,261,266,333,348,407,329,251,0,0,0,0,0
"Brumley","Miller County","Missouri",93,91,102,81,109,87,74,78,100,121,0,0,0,0,0,0,0,0,0,0
"Brunswick","Chariton County","Missouri",842,858,925,1074,1272,1370,1493,1653,1749,1715,1411,1606,1403,1748,1801,1645,0,363,0,0
"Bucklin","Linn County","Missouri",447,467,524,616,713,654,639,783,842,932,863,790,642,711,430,0,0,0,0,0
"Buckner","Jackson County","Missouri",3071,3076,2725,2873,2848,1695,1198,639,571,529,439,410,234,164,88,0,0,0,0,0
"Buffalo","Dallas County","Missouri",3039,3084,2781,2414,2217,1915,1477,1213,920,835,915,820,757,861,437,278,0,0,0,0
"Bull Creek","Taney County","Missouri",596,603,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bunceton","Cooper County","Missouri",347,354,348,341,419,437,468,556,648,693,860,788,856,493,0,0,0,0,0,0
"Bunker","Dent/Reynolds County","Missouri",404,407,427,390,673,447,401,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burgess","Barton County","Missouri",56,57,70,97,98,69,86,123,164,212,364,249,0,0,0,0,0,0,0,0
"Burlington Junction","Nodaway County","Missouri",514,537,632,634,657,634,650,746,838,813,970,942,759,707,657,0,0,0,0,0
"Butler","Bates County","Missouri",4127,4219,4209,4099,4107,3984,3791,3333,2958,2706,2702,2894,3158,2812,2162,1064,0,0,0,0
"Butterfield","Barry County","Missouri",464,470,397,248,234,125,125,136,150,0,0,0,0,0,0,0,0,0,0,0
"Byrnes Mill","Jefferson County","Missouri",2832,2781,2376,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabool","Texas County","Missouri",2126,2146,2168,2006,2090,1848,1284,1245,1069,908,905,789,471,359,0,0,0,0,0,0
"Cainsville","Harrison County","Missouri",281,290,370,387,496,454,495,618,765,765,1051,887,743,418,198,0,0,0,0,0
"Cairo","Randolph County","Missouri",289,292,293,282,315,248,210,264,254,250,221,220,173,0,100,0,0,0,0,0
"Caledonia","Washington County","Missouri",131,130,158,142,162,113,119,143,139,143,133,128,166,0,236,0,0,0,0,0
"Calhoun","Henry County","Missouri",455,469,491,450,427,360,374,463,521,501,603,684,561,698,492,0,0,0,0,0
"California","Moniteau County","Missouri",4364,4278,4005,3465,3381,3105,2788,2627,2525,2384,2218,2154,2181,1772,1427,0,0,0,0,0
"Callao","Macon County","Missouri",285,292,291,332,326,373,329,370,398,468,542,526,498,371,330,310,0,0,0,0
"Calverton Park","St. Louis County","Missouri",1287,1293,1322,1404,1717,2025,1714,514,139,0,0,0,0,0,0,0,0,0,0,0
"Camden","Ray County","Missouri",187,191,209,238,219,286,310,383,399,407,534,477,392,650,509,357,364,0,0,0
"Camden Point","Platte County","Missouri",522,474,484,373,263,264,171,147,140,192,212,169,170,177,142,77,0,0,0,0
"Camdenton","Camden County","Missouri",3844,3718,2779,2561,2303,1636,1405,1142,893,0,0,0,0,0,0,0,0,0,0,0
"Cameron","Clinton County","Missouri",9762,9933,8312,4831,4519,3960,3674,3570,3615,3507,3248,2980,2979,2917,2109,1428,0,0,0,0
"Campbell","Dunklin County","Missouri",1949,1992,1883,2165,2134,1979,1964,1931,1786,1592,2025,1781,737,0,0,0,0,0,0,0
"Canalou","New Madrid County","Missouri",315,338,348,319,369,358,447,438,419,359,477,296,0,0,0,0,0,0,0,0
"Canton","Lewis County","Missouri",2368,2377,2557,2623,2435,2680,2562,2490,2125,2044,1949,2218,2365,2241,2632,2363,1496,0,0,0
"Cape Girardeau","Cape Girardeau County","Missouri",39167,37941,35349,34438,34361,31282,24947,21578,19426,16227,10252,8475,4815,4297,3889,3585,2663,0,0,0
"Cardwell","Dunklin County","Missouri",698,713,789,792,831,859,816,952,913,861,1043,874,502,0,0,0,0,0,0,0
"Carl Junction","Jasper County","Missouri",7660,7445,5294,4123,3937,1661,1220,1006,1039,1042,1377,1115,1177,699,0,0,0,0,0,0
"Carrollton","Carroll County","Missouri",3664,3784,4122,4406,4700,4847,4554,4380,4070,4058,3218,3452,3854,3878,2313,1832,738,0,0,0
"Carterville","Jasper County","Missouri",1852,1891,1850,2013,1973,1716,1443,1552,1582,1600,2434,4539,4445,2884,483,0,0,0,0,0
"Carthage","Jasper County","Missouri",14271,14378,12668,10747,11104,11035,11264,11188,10585,9736,10068,9483,9416,7981,4167,0,0,0,0,0
"Caruthersville","Pemiscot County","Missouri",5975,6168,6760,7389,7958,7350,8643,8614,6612,4781,4750,3655,2315,230,0,0,0,0,0,0
"Carytown","Jasper County","Missouri",268,271,217,149,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
