,"Grant County","Arkansas",18144,17853
,"Greene County","Arkansas",43694,42090
,"Hempstead County","Arkansas",22327,22609
,"Hot Spring County","Arkansas",33368,32923
,"Howard County","Arkansas",13500,13789
,"Independence County","Arkansas",36959,36647
,"Izard County","Arkansas",13486,13696
,"Jackson County","Arkansas",17534,17997
,"Jefferson County","Arkansas",72297,77435
,"Johnson County","Arkansas",26005,25540
,"Lafayette County","Arkansas",7111,7645
,"Lawrence County","Arkansas",16931,17415
,"Lee County","Arkansas",9860,10424
,"Lincoln County","Arkansas",13970,14134
,"Little River County","Arkansas",12532,13171
,"Logan County","Arkansas",21958,22353
,"Lonoke County","Arkansas",71557,68356
,"Madison County","Arkansas",15740,15717
,"Marion County","Arkansas",16367,16653
,"Miller County","Arkansas",43428,43462
,"Mississippi County","Arkansas",44235,46480
,"Monroe County","Arkansas",7582,8149
,"Montgomery County","Arkansas",9082,9487
,"Nevada County","Arkansas",8723,8997
,"Newton County","Arkansas",7904,8330
,"Ouachita County","Arkansas",24828,26120
,"Perry County","Arkansas",10245,10445
,"Phillips County","Arkansas",19930,21757
,"Pike County","Arkansas",11024,11291
,"Poinsett County","Arkansas",24246,24583
,"Polk County","Arkansas",20225,20662
,"Pope County","Arkansas",63201,61754
,"Prairie County","Arkansas",8304,8715
,"Pulaski County","Arkansas",392702,382748
,"Randolph County","Arkansas",17571,17969
,"St. Francis County","Arkansas",26899,28258
,"Saline County","Arkansas",115719,107118
,"Scott County","Arkansas",10693,11233
,"Searcy County","Arkansas",7929,8195
,"Sebastian County","Arkansas",126776,125744
,"Sevier County","Arkansas",17426,17058
,"Sharp County","Arkansas",16906,17264
,"Stone County","Arkansas",12494,12394
,"Union County","Arkansas",40227,41639
,"Van Buren County","Arkansas",16851,17295
,"Washington County","Arkansas",220792,203065
,"White County","Arkansas",78592,77076
,"Woodruff County","Arkansas",6910,7260
,"Yell County","Arkansas",21951,22185
,"Alameda County","California",1610921,1510271
,"Alpine County","California",1116,1175
,"Amador County","California",36742,38091
,"Butte County","California",224241,220000
,"Calaveras County","California",44624,45578
,"Colusa County","California",21419,21419
,"Contra Costa County","California",1111339,1049025
,"Del Norte County","California",27212,28610
,"El Dorado County","California",183087,181058
,"Fresno County","California",965974,930450
,"Glenn County","California",27955,28122
,"Humboldt County","California",134809,134623
,"Imperial County","California",179091,174528
,"Inyo County","California",18410,18546
,"Kern County","California",874589,839631
,"Kings County","California",150269,152982
,"Lake County","California",64184,64665
,"Lassen County","California",31749,34895
,"Los Angeles County","California",10116705,9818605
,"Madera County","California",154548,150865
,"Marin County","California",260750,252409
,"Mariposa County","California",17682,18251
,"Mendocino County","California",87869,87841
,"Merced County","California",266353,255793
,"Modoc County","California",9023,9686
,"Mono County","California",13997,14202
,"Monterey County","California",431344,415057
,"Napa County","California",141667,136484
,"Nevada County","California",98893,98764
,"Orange County","California",3145515,3010232
,"Placer County","California",371694,348432
,"Plumas County","California",18606,20007
,"Riverside County","California",2329271,2189641
,"Sacramento County","California",1482026,1418788
,"San Benito County","California",58267,55269
,"San Bernardino County","California",2112619,2035210
,"San Diego County","California",3263431,3095313
,"San Francisco County","California",852469,805235
,"San Joaquin County","California",715597,685306
,"San Luis Obispo County","California",279083,269637
,"San Mateo County","California",758581,718451
,"Santa Barbara County","California",440668,423895
,"Santa Clara County","California",1894605,1781642
,"Santa Cruz County","California",271804,262382
,"Shasta County","California",179804,177223
,"Sierra County","California",3003,3240
,"Siskiyou County","California",43628,44900
,"Solano County","California",431131,413344
,"Sonoma County","California",500292,483878
,"Stanislaus County","California",531997,514453
