"Cankton","St. Landry Parish","Louisiana",490,484,362,323,303,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carencro","Lafayette Parish","Louisiana",8453,7526,6120,5429,3712,2302,1519,1587,914,684,630,609,445,289,0,0,0,0,0,0,0,0
"Castor","Bienville Parish","Louisiana",249,258,209,196,195,183,142,171,244,256,0,0,0,0,0,0,0,0,0,0,0,0
"Central","East Baton Rouge Parish","Louisiana",28119,26864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chataignier","Evangeline Parish","Louisiana",360,364,383,281,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chatham","Jackson Parish","Louisiana",549,557,623,617,714,827,758,833,605,391,186,181,0,0,0,0,0,0,0,0,0,0
"Cheneyville","Rapides Parish","Louisiana",612,625,901,1005,865,1082,1037,918,913,835,678,498,0,0,0,0,0,0,0,0,0,0
"Choudrant","Lincoln Parish","Louisiana",933,845,582,557,809,555,465,395,438,394,393,0,0,0,0,0,0,0,0,0,0,0
"Church Point","Acadia Parish","Louisiana",4536,4560,4756,4677,4599,3865,3606,2897,1892,1037,557,481,278,0,0,0,0,0,0,0,0,0
"Clarence","Natchitoches Parish","Louisiana",489,499,516,577,612,448,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarks","Caldwell Parish","Louisiana",1000,1017,1071,650,931,889,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clayton","Concordia Parish","Louisiana",697,711,858,917,1204,1103,882,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clinton","East Feliciana Parish","Louisiana",1589,1653,1998,1904,1919,1884,1568,1383,998,702,701,918,960,974,112,930,0,1252,554,0,0,0
"Colfax","Grant Parish","Louisiana",1532,1558,1659,1696,1680,1892,1934,1651,1354,1141,1449,1049,190,161,0,40,0,0,0,0,0,0
"Collinston","Morehouse Parish","Louisiana",272,287,327,375,439,397,497,546,482,473,354,333,0,0,0,0,0,0,0,0,0,0
"Columbia","Caldwell Parish","Louisiana",379,390,477,386,687,1000,1021,920,840,760,434,500,382,352,210,235,0,0,0,0,0,0
"Converse","Sabine Parish","Louisiana",440,440,400,436,449,375,291,311,314,291,0,0,0,0,0,0,0,0,0,0,0,0
